date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Puducherry,Karaikal,609609,24,205
01-03-2025,Puducherry,Puducherry,605014,10,77
01-03-2025,Puducherry,Puducherry,605011,10,108
01-03-2025,Puducherry,Puducherry,605007,36,308
02-09-2025,Puducherry,Karaikal,609607,3,3
02-09-2025,Puducherry,Puducherry,605008,1,18
02-09-2025,Puducherry,Puducherry,605010,2,6
01-09-2025,Puducherry,Karaikal,609605,1,2
01-09-2025,Puducherry,Puducherry,605004,0,8
01-09-2025,Puducherry,Puducherry,605007,0,7
01-09-2025,Puducherry,Puducherry,605009,1,17
01-09-2025,Puducherry,Puducherry,605014,0,1
01-09-2025,Puducherry,Puducherry,673310,1,5
04-09-2025,Puducherry,Karaikal,609601,1,5
04-09-2025,Puducherry,Puducherry,605001,1,2
04-09-2025,Puducherry,Puducherry,605006,2,0
04-09-2025,Puducherry,Puducherry,605014,1,3
04-09-2025,Puducherry,Puducherry,605502,0,3
03-09-2025,Puducherry,Karaikal,609601,1,3
03-09-2025,Puducherry,Karaikal,609604,0,1
03-09-2025,Puducherry,Karaikal,609605,1,2
03-09-2025,Puducherry,Puducherry,605001,0,5
03-09-2025,Puducherry,Puducherry,605010,0,3
03-09-2025,Puducherry,Puducherry,605111,0,2
05-09-2025,Puducherry,Puducherry,533464,3,9
05-09-2025,Puducherry,Puducherry,605001,1,4
05-09-2025,Puducherry,Puducherry,605008,3,13
05-09-2025,Puducherry,Puducherry,605009,3,3
05-09-2025,Puducherry,Puducherry,605013,0,1
07-09-2025,Puducherry,Karaikal,609609,0,1
07-09-2025,Puducherry,Puducherry,533464,0,3
07-09-2025,Puducherry,Puducherry,605008,0,1
06-09-2025,Puducherry,Karaikal,609606,0,3
06-09-2025,Puducherry,Karaikal,609607,3,8
06-09-2025,Puducherry,Puducherry,605014,0,1
06-09-2025,Puducherry,Puducherry,605502,0,5
08-09-2025,Puducherry,Karaikal,609601,2,3
08-09-2025,Puducherry,Karaikal,609606,1,3
08-09-2025,Puducherry,Puducherry,605008,3,14
08-09-2025,Puducherry,Puducherry,605009,2,12
08-09-2025,Puducherry,Puducherry,605011,1,2
08-09-2025,Puducherry,Puducherry,605502,1,5
08-09-2025,Puducherry,Puducherry,673310,2,4
09-09-2025,Puducherry,Puducherry,533464,0,6
09-09-2025,Puducherry,Puducherry,605007,3,7
09-09-2025,Puducherry,Puducherry,605008,2,17
09-09-2025,Puducherry,Puducherry,605011,0,6
09-09-2025,Puducherry,Puducherry,605013,1,3
09-09-2025,Puducherry,Puducherry,605110,4,20
09-09-2025,Puducherry,Puducherry,605111,0,1
09-09-2025,Puducherry,Puducherry,673310,0,3
10-09-2025,Puducherry,Karaikal,609601,2,0
10-09-2025,Puducherry,Karaikal,609604,12,4
10-09-2025,Puducherry,Karaikal,609605,6,6
10-09-2025,Puducherry,Karaikal,609609,5,7
10-09-2025,Puducherry,Puducherry,605009,4,14
10-09-2025,Puducherry,Puducherry,605013,1,3
10-09-2025,Puducherry,Puducherry,605106,0,2
10-09-2025,Puducherry,Puducherry,605110,4,17
10-09-2025,Puducherry,Puducherry,670672,0,1
11-09-2025,Puducherry,Karaikal,609603,3,6
11-09-2025,Puducherry,Karaikal,609606,8,4
11-09-2025,Puducherry,Puducherry,605014,0,4
13-09-2025,Puducherry,Karaikal,609601,3,3
13-09-2025,Puducherry,Karaikal,609606,3,2
13-09-2025,Puducherry,Puducherry,605011,0,2
13-09-2025,Puducherry,Puducherry,605014,1,3
13-09-2025,Puducherry,Puducherry,673310,1,3
12-09-2025,Puducherry,Karaikal,609606,3,2
12-09-2025,Puducherry,Karaikal,609609,3,17
12-09-2025,Puducherry,Pondicherry,605001,0,1
12-09-2025,Puducherry,Puducherry,533464,2,3
12-09-2025,Puducherry,Puducherry,605001,2,10
12-09-2025,Puducherry,Puducherry,605501,0,1
12-09-2025,Puducherry,Puducherry,607402,2,3
15-09-2025,Puducherry,Karaikal,609604,13,3
15-09-2025,Puducherry,Karaikal,609605,14,3
15-09-2025,Puducherry,Puducherry,605009,2,20
15-09-2025,Puducherry,Puducherry,605110,5,15
15-09-2025,Puducherry,Puducherry,670672,0,2
15-09-2025,Puducherry,Puducherry,673310,0,3
15-09-2025,Puducherry,Yanam,533464,0,2
14-09-2025,Puducherry,Karaikal,609601,0,2
14-09-2025,Puducherry,Karaikal,609605,0,1
17-09-2025,Puducherry,Karaikal,609607,10,3
17-09-2025,Puducherry,Puducherry,605004,0,13
17-09-2025,Puducherry,Puducherry,605009,3,13
17-09-2025,Puducherry,Puducherry,605013,0,8
17-09-2025,Puducherry,Puducherry,605111,1,0
17-09-2025,Puducherry,Puducherry,607402,2,4
17-09-2025,Puducherry,Puducherry,670671,0,1
16-09-2025,Puducherry,Karaikal,609606,9,1
16-09-2025,Puducherry,Karaikal,609609,13,4
16-09-2025,Puducherry,Puducherry,605010,1,5
16-09-2025,Puducherry,Puducherry,605013,1,11
16-09-2025,Puducherry,Puducherry,605502,0,4
18-09-2025,Puducherry,Karaikal,609602,15,11
18-09-2025,Puducherry,Karaikal,609603,1,4
18-09-2025,Puducherry,Karaikal,609605,1,2
18-09-2025,Puducherry,Puducherry,605007,2,11
18-09-2025,Puducherry,Puducherry,605009,4,6
18-09-2025,Puducherry,Puducherry,673310,0,2
18-09-2025,Puducherry,Puducherry,673311,0,1
20-09-2025,Puducherry,Karaikal,609609,6,3
20-09-2025,Puducherry,Puducherry,605006,1,0
20-09-2025,Puducherry,Puducherry,605014,0,1
20-09-2025,Puducherry,Puducherry,670672,0,3
19-09-2025,Puducherry,Karaikal,609602,7,9
19-09-2025,Puducherry,Karaikal,609609,2,6
19-09-2025,Puducherry,Puducherry,605001,0,5
19-09-2025,Puducherry,Puducherry,605003,1,10
19-09-2025,Puducherry,Puducherry,605009,3,8
19-09-2025,Puducherry,Puducherry,605013,3,8
19-09-2025,Puducherry,Puducherry,605110,5,9
13-10-2025,Puducherry,Karaikal,609606,0,1
13-10-2025,Puducherry,Puducherry,605008,1,2
16-10-2025,Puducherry,Karaikal,609602,9,15
16-10-2025,Puducherry,Puducherry,605003,0,8
16-10-2025,Puducherry,Puducherry,605008,1,21
16-10-2025,Puducherry,Puducherry,605010,1,13
16-10-2025,Puducherry,Puducherry,605107,0,6
16-10-2025,Puducherry,Puducherry,607402,1,10
15-10-2025,Puducherry,Karaikal,609602,3,18
15-10-2025,Puducherry,Karaikal,609606,4,3
15-10-2025,Puducherry,Karaikal,609607,1,5
15-10-2025,Puducherry,Pondicherry,605004,0,1
15-10-2025,Puducherry,Puducherry,605012,1,0
15-10-2025,Puducherry,Puducherry,605102,0,1
15-10-2025,Puducherry,Puducherry,605106,1,2
15-10-2025,Puducherry,Puducherry,670672,0,1
19-10-2025,Puducherry,Puducherry,605007,2,6
19-10-2025,Puducherry,Puducherry,605502,0,3
21-10-2025,Puducherry,Karaikal,609607,0,3
21-10-2025,Puducherry,Karaikal,609609,2,2
21-10-2025,Puducherry,Puducherry,605007,0,1
21-10-2025,Puducherry,Puducherry,605009,4,5
20-10-2025,Puducherry,Karaikal,609607,1,1
20-10-2025,Puducherry,Puducherry,605003,1,3
20-10-2025,Puducherry,Puducherry,605004,1,3
20-10-2025,Puducherry,Puducherry,605009,1,5
24-10-2025,Puducherry,Puducherry,605001,4,7
24-10-2025,Puducherry,Puducherry,605006,1,1
24-10-2025,Puducherry,Puducherry,605009,2,11
24-10-2025,Puducherry,Puducherry,605013,0,2
24-10-2025,Puducherry,Puducherry,605102,1,0
24-10-2025,Puducherry,Puducherry,605501,0,1
24-10-2025,Puducherry,Puducherry,605502,4,1
24-10-2025,Puducherry,Puducherry,673310,0,8
24-10-2025,Puducherry,Puducherry,673311,0,2
23-10-2025,Puducherry,Puducherry,533464,0,1
23-10-2025,Puducherry,Puducherry,605004,0,4
27-10-2025,Puducherry,Karaikal,609605,1,7
27-10-2025,Puducherry,Karaikal,609607,2,4
27-10-2025,Puducherry,Puducherry,605008,6,15
27-10-2025,Puducherry,Puducherry,605012,0,1
27-10-2025,Puducherry,Puducherry,605014,0,1
27-10-2025,Puducherry,Puducherry,605501,0,2
27-10-2025,Puducherry,Yanam,533464,0,1
17-10-2025,Puducherry,Karaikal,609602,3,6
17-10-2025,Puducherry,Puducherry,605005,0,2
17-10-2025,Puducherry,Puducherry,605007,1,8
17-10-2025,Puducherry,Puducherry,605009,0,12
17-10-2025,Puducherry,Puducherry,605107,0,3
17-10-2025,Puducherry,Puducherry,607402,0,3
18-10-2025,Puducherry,Karaikal,609604,2,0
18-10-2025,Puducherry,Karaikal,609607,0,5
18-10-2025,Puducherry,Karaikal,609609,0,4
18-10-2025,Puducherry,Puducherry,605107,0,2
18-10-2025,Puducherry,Puducherry,605110,1,18
18-10-2025,Puducherry,Puducherry,605111,0,1
18-10-2025,Puducherry,Puducherry,605502,0,0
26-10-2025,Puducherry,Karaikal,609601,0,1
26-10-2025,Puducherry,Puducherry,605014,0,1
26-10-2025,Puducherry,Puducherry,605501,1,1
26-10-2025,Puducherry,Puducherry,605502,0,1
26-10-2025,Puducherry,Puducherry,670672,0,2
26-10-2025,Puducherry,Puducherry,673311,0,2
25-10-2025,Puducherry,Karaikal,609607,1,6
25-10-2025,Puducherry,Karaikal,609609,0,5
25-10-2025,Puducherry,Puducherry,605009,4,11
