date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Punjab,Amritsar,143119,10,197
01-03-2025,Punjab,Jalandhar,144002,59,1046
01-03-2025,Punjab,Jalandhar,144009,36,308
01-03-2025,Punjab,Firozpur,152022,14,325
01-03-2025,Punjab,Ludhiana,141017,10,133
01-03-2025,Punjab,Sri Muktsar Sahib,152031,28,276
01-03-2025,Punjab,Moga,142038,17,467
01-03-2025,Punjab,Ludhiana,142026,38,842
01-03-2025,Punjab,Rupnagar,140123,12,68
01-03-2025,Punjab,Ludhiana,142027,20,189
01-03-2025,Punjab,Bathinda,151102,10,360
01-03-2025,Punjab,Sri Muktsar Sahib,152101,42,711
01-03-2025,Punjab,Bathinda,151005,11,252
01-03-2025,Punjab,Patiala,140417,11,209
01-03-2025,Punjab,Kapurthala,144626,18,331
01-03-2025,Punjab,Sangrur,148035,16,532
01-03-2025,Punjab,SAS Nagar (Mohali),140306,40,429
01-03-2025,Punjab,Bathinda,151206,13,486
01-03-2025,Punjab,Fazilka,152124,18,437
01-04-2025,Punjab,Patiala,147101,70,948
01-04-2025,Punjab,Gurdaspur,143505,106,1760
01-04-2025,Punjab,Ferozepur,142047,18,288
01-04-2025,Punjab,Hoshiarpur,146001,92,1386
01-04-2025,Punjab,SAS Nagar (Mohali),140507,46,645
01-04-2025,Punjab,Ludhiana,141008,204,2314
01-04-2025,Punjab,SAS Nagar (Mohali),140603,169,1637
01-05-2025,Punjab,Ludhiana,141008,197,2619
01-05-2025,Punjab,Ludhiana,141003,102,1846
01-05-2025,Punjab,Ferozepur,142047,37,339
01-05-2025,Punjab,Patiala,147001,540,3565
01-05-2025,Punjab,Bathinda,151001,205,2125
01-05-2025,Punjab,Patiala,140401,272,1141
01-05-2025,Punjab,SAS Nagar (Mohali),140301,181,1880
01-05-2025,Punjab,Tarn Taran,143416,51,781
01-05-2025,Punjab,SAS Nagar (Mohali),140603,123,1467
01-05-2025,Punjab,Amritsar,143001,514,5997
01-06-2025,Punjab,Patiala,147201,120,847
01-03-2025,Punjab,Bathinda,151302,21,538
01-03-2025,Punjab,Pathankot,145027,10,70
01-03-2025,Punjab,Fazilka,152024,61,1473
01-03-2025,Punjab,Ludhiana,141012,35,497
01-03-2025,Punjab,Gurdaspur,143528,12,214
01-03-2025,Punjab,Sri Muktsar Sahib,151210,21,447
01-03-2025,Punjab,Hoshiarpur,144306,17,248
