date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Sikkim,West Sikkim,737113,24,129
01-03-2025,Sikkim,East,737102,13,311
01-03-2025,Sikkim,West Sikkim,737121,34,262
02-09-2025,Sikkim,East,737135,3,8
02-09-2025,Sikkim,North Sikkim,737118,0,1
02-09-2025,Sikkim,South,737126,0,45
02-09-2025,Sikkim,South,737128,0,13
02-09-2025,Sikkim,South,737134,2,8
02-09-2025,Sikkim,South Sikkim,737121,0,1
02-09-2025,Sikkim,West,737111,0,17
01-09-2025,Sikkim,East,737101,2,17
01-09-2025,Sikkim,East,737134,2,30
01-09-2025,Sikkim,East Sikkim,737106,1,6
01-09-2025,Sikkim,East Sikkim,737131,1,6
01-09-2025,Sikkim,Namchi,737132,0,1
01-09-2025,Sikkim,Namchi,737134,0,2
01-09-2025,Sikkim,North,737120,0,5
01-09-2025,Sikkim,South,737128,2,15
01-09-2025,Sikkim,South,737132,0,5
01-09-2025,Sikkim,South Sikkim,737121,0,1
01-09-2025,Sikkim,South Sikkim,737126,1,4
01-09-2025,Sikkim,South Sikkim,737139,0,6
01-09-2025,Sikkim,West,737113,1,19
04-09-2025,Sikkim,East,737102,1,17
04-09-2025,Sikkim,East,737131,0,14
04-09-2025,Sikkim,East Sikkim,737101,1,13
04-09-2025,Sikkim,East Sikkim,737102,0,2
04-09-2025,Sikkim,East Sikkim,737135,1,12
04-09-2025,Sikkim,Namchi,737134,0,3
04-09-2025,Sikkim,South,737128,0,1
04-09-2025,Sikkim,South,737132,0,5
04-09-2025,Sikkim,West,737113,1,10
03-09-2025,Sikkim,East Sikkim,737106,1,2
03-09-2025,Sikkim,South,737113,0,1
03-09-2025,Sikkim,South,737132,0,6
03-09-2025,Sikkim,West,737111,2,12
03-09-2025,Sikkim,West,737113,2,19
05-09-2025,Sikkim,East,737106,1,13
05-09-2025,Sikkim,East,737107,0,1
05-09-2025,Sikkim,East Sikkim,737103,0,4
05-09-2025,Sikkim,Mangan,737116,0,2
05-09-2025,Sikkim,Namchi,737132,0,1
05-09-2025,Sikkim,North,737117,0,1
05-09-2025,Sikkim,North,737119,0,1
05-09-2025,Sikkim,North Sikkim,737120,0,6
05-09-2025,Sikkim,South,737134,0,8
05-09-2025,Sikkim,South Sikkim,737132,0,3
05-09-2025,Sikkim,West,737121,1,34
06-09-2025,Sikkim,East,737132,0,1
06-09-2025,Sikkim,East,737134,0,2
06-09-2025,Sikkim,East Sikkim,737102,0,2
06-09-2025,Sikkim,North Sikkim,737116,0,1
06-09-2025,Sikkim,South,737134,0,12
06-09-2025,Sikkim,South,737139,0,12
06-09-2025,Sikkim,South Sikkim,737128,0,3
08-09-2025,Sikkim,East Sikkim,737101,2,6
08-09-2025,Sikkim,North,737120,1,3
08-09-2025,Sikkim,South,737128,1,10
08-09-2025,Sikkim,South Sikkim,737139,0,3
08-09-2025,Sikkim,West,737121,4,39
09-09-2025,Sikkim,East,737103,2,7
09-09-2025,Sikkim,East,737132,0,3
09-09-2025,Sikkim,East Sikkim,737103,0,5
09-09-2025,Sikkim,East Sikkim,737107,1,2
09-09-2025,Sikkim,East Sikkim,737132,0,1
09-09-2025,Sikkim,South Sikkim,737134,0,3
09-09-2025,Sikkim,West,737113,1,20
10-09-2025,Sikkim,East Sikkim,737103,0,5
10-09-2025,Sikkim,Mangan,737116,0,2
10-09-2025,Sikkim,Namchi,737139,0,1
10-09-2025,Sikkim,North Sikkim,737117,0,1
10-09-2025,Sikkim,South Sikkim,737126,0,6
10-09-2025,Sikkim,South Sikkim,737128,0,4
10-09-2025,Sikkim,South Sikkim,737139,0,2
12-09-2025,Sikkim,East,737132,0,5
12-09-2025,Sikkim,East,737135,1,11
12-09-2025,Sikkim,East Sikkim,737101,0,6
12-09-2025,Sikkim,East Sikkim,737102,1,2
12-09-2025,Sikkim,East Sikkim,737134,1,10
12-09-2025,Sikkim,East Sikkim,737135,0,11
12-09-2025,Sikkim,North,737120,0,3
12-09-2025,Sikkim,South,737139,0,2
12-09-2025,Sikkim,West Sikkim,737121,1,4
11-09-2025,Sikkim,East,737101,1,15
11-09-2025,Sikkim,East,737132,0,4
11-09-2025,Sikkim,East Sikkim,737103,0,4
11-09-2025,Sikkim,East Sikkim,737133,2,5
11-09-2025,Sikkim,Namchi,737126,1,4
11-09-2025,Sikkim,North,737107,0,2
11-09-2025,Sikkim,North,737116,0,7
11-09-2025,Sikkim,North Sikkim,737117,0,3
11-09-2025,Sikkim,West Sikkim,737111,0,12
13-09-2025,Sikkim,East,737101,0,4
13-09-2025,Sikkim,East,737107,2,1
13-09-2025,Sikkim,East Sikkim,737102,0,1
13-09-2025,Sikkim,North Sikkim,737116,0,7
13-09-2025,Sikkim,North Sikkim,737120,0,1
14-09-2025,Sikkim,East Sikkim,737135,0,2
14-09-2025,Sikkim,West Sikkim,737111,0,1
15-09-2025,Sikkim,East,737107,2,3
15-09-2025,Sikkim,East,737131,0,9
15-09-2025,Sikkim,East Sikkim,737103,1,7
15-09-2025,Sikkim,Namchi,737126,0,1
15-09-2025,Sikkim,North Sikkim,737117,0,1
15-09-2025,Sikkim,South,737111,0,2
15-09-2025,Sikkim,West,737111,0,8
15-09-2025,Sikkim,West Sikkim,737113,0,5
17-09-2025,Sikkim,East,737106,0,3
17-09-2025,Sikkim,East,737133,0,3
17-09-2025,Sikkim,East,737135,0,7
17-09-2025,Sikkim,East Sikkim,737102,0,2
17-09-2025,Sikkim,East Sikkim,737132,0,3
17-09-2025,Sikkim,Namchi,737126,0,1
17-09-2025,Sikkim,North Sikkim,737107,0,1
17-09-2025,Sikkim,North Sikkim,737116,0,1
17-09-2025,Sikkim,South,737132,0,1
17-09-2025,Sikkim,South Sikkim,737126,0,4
17-09-2025,Sikkim,West,737113,3,6
17-09-2025,Sikkim,West Sikkim,737111,0,4
17-09-2025,Sikkim,West Sikkim,737113,0,6
16-09-2025,Sikkim,East,737101,2,4
16-09-2025,Sikkim,East,737102,1,4
16-09-2025,Sikkim,East Sikkim,737107,0,1
16-09-2025,Sikkim,East Sikkim,737133,1,1
16-09-2025,Sikkim,Namchi,737139,0,2
16-09-2025,Sikkim,South,737126,4,24
16-09-2025,Sikkim,South,737139,0,2
16-09-2025,Sikkim,West,737121,1,4
18-09-2025,Sikkim,East,737107,0,7
18-09-2025,Sikkim,East,737133,0,10
18-09-2025,Sikkim,East Sikkim,737101,0,7
18-09-2025,Sikkim,East Sikkim,737102,0,5
18-09-2025,Sikkim,East Sikkim,737103,0,4
18-09-2025,Sikkim,East Sikkim,737106,0,2
18-09-2025,Sikkim,East Sikkim,737135,0,3
18-09-2025,Sikkim,South Sikkim,737128,0,2
18-09-2025,Sikkim,West,737113,0,9
18-09-2025,Sikkim,West Sikkim,737121,0,9
19-09-2025,Sikkim,East,737107,0,3
19-09-2025,Sikkim,East Sikkim,737103,0,1
19-09-2025,Sikkim,East Sikkim,737106,1,4
19-09-2025,Sikkim,East Sikkim,737134,1,1
19-09-2025,Sikkim,Namchi,737128,0,2
19-09-2025,Sikkim,Namchi,737134,0,1
19-09-2025,Sikkim,South,737126,3,14
19-09-2025,Sikkim,South Sikkim,737126,1,5
20-09-2025,Sikkim,East,737134,1,4
20-09-2025,Sikkim,North,737116,0,2
20-09-2025,Sikkim,North,737120,0,1
20-09-2025,Sikkim,South,737134,0,4
20-09-2025,Sikkim,South Sikkim,737126,1,2
13-10-2025,Sikkim,East,737106,1,4
13-10-2025,Sikkim,East,737131,0,4
13-10-2025,Sikkim,East,737133,0,3
13-10-2025,Sikkim,East Sikkim,737101,0,3
13-10-2025,Sikkim,East Sikkim,737134,0,2
13-10-2025,Sikkim,North Sikkim,737120,0,1
15-10-2025,Sikkim,East,737102,0,14
15-10-2025,Sikkim,East,737106,0,1
15-10-2025,Sikkim,East,737134,1,4
15-10-2025,Sikkim,East,737135,0,10
15-10-2025,Sikkim,East Sikkim,737103,0,4
15-10-2025,Sikkim,East Sikkim,737106,1,8
15-10-2025,Sikkim,East Sikkim,737133,0,1
15-10-2025,Sikkim,East Sikkim,737134,0,6
15-10-2025,Sikkim,East Sikkim,737135,0,3
15-10-2025,Sikkim,North,737107,0,1
15-10-2025,Sikkim,North,737120,0,1
15-10-2025,Sikkim,North Sikkim,737117,0,1
15-10-2025,Sikkim,South,737132,0,3
15-10-2025,Sikkim,West,737111,0,13
15-10-2025,Sikkim,West Sikkim,737113,0,2
15-10-2025,Sikkim,West Sikkim,737121,1,6
16-10-2025,Sikkim,East,737103,0,5
16-10-2025,Sikkim,East Sikkim,737101,0,9
16-10-2025,Sikkim,Mangan,737120,0,1
16-10-2025,Sikkim,North Sikkim,737116,4,3
16-10-2025,Sikkim,South,737126,0,14
16-10-2025,Sikkim,South,737128,0,2
16-10-2025,Sikkim,West,737113,1,7
16-10-2025,Sikkim,West,737121,1,19
16-10-2025,Sikkim,West Sikkim,737111,0,7
