date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Tripura,Dhalai,799273,29,359
01-03-2025,Tripura,Gomati,799114,102,791
01-03-2025,Tripura,Dhalai,799284,49,513
01-03-2025,Tripura,South Tripura,799156,14,264
01-03-2025,Tripura,West Tripura,799130,10,334
01-03-2025,Tripura,South Tripura,799141,62,683
01-03-2025,Tripura,South Tripura,799144,52,1090
01-03-2025,Tripura,North Tripura,799253,28,333
01-03-2025,Tripura,Gomati,799116,64,282
01-03-2025,Tripura,West Tripura,799210,21,323
01-03-2025,Tripura,Dhalai,799287,10,258
01-09-2025,Tripura,Dhalai,799273,1,16
01-09-2025,Tripura,Dhalai,799287,0,10
01-09-2025,Tripura,Gomati,799101,6,15
01-09-2025,Tripura,Gomati,799114,6,14
01-09-2025,Tripura,Khowai,799205,5,27
01-09-2025,Tripura,North Tripura,799250,0,4
01-09-2025,Tripura,North Tripura,799261,1,21
01-09-2025,Tripura,North Tripura,799277,0,9
01-09-2025,Tripura,North Tripura,799281,0,5
01-09-2025,Tripura,Sepahijala,799103,1,11
01-09-2025,Tripura,South Tripura,799045,1,0
01-09-2025,Tripura,South Tripura,799108,0,6
01-09-2025,Tripura,South Tripura,799153,2,7
01-09-2025,Tripura,South Tripura,799155,8,28
01-09-2025,Tripura,Unakoti,799277,0,11
01-09-2025,Tripura,Unakoti,799288,1,7
01-09-2025,Tripura,West Tripura,799004,3,50
01-09-2025,Tripura,West Tripura,799006,3,18
01-09-2025,Tripura,West Tripura,799009,0,13
01-09-2025,Tripura,West Tripura,799035,0,31
01-09-2025,Tripura,West Tripura,799102,3,43
01-09-2025,Tripura,West Tripura,799130,2,11
02-09-2025,Tripura,Dhalai,799275,1,18
02-09-2025,Tripura,Dhalai,799284,4,53
02-09-2025,Tripura,Gomati,799013,0,11
02-09-2025,Tripura,Gomati,799104,4,10
02-09-2025,Tripura,Gomati,799105,2,7
02-09-2025,Tripura,Gomati,799125,1,8
02-09-2025,Tripura,Khowai,799203,0,6
