date,state,district,pincode,demo_age_5_17,demo_age_17_
16-10-2025,Uttarakhand,Almora,263622,3,10
16-10-2025,Uttarakhand,Almora,263629,0,5
16-10-2025,Uttarakhand,Almora,263637,0,5
16-10-2025,Uttarakhand,Almora,263652,1,3
16-10-2025,Uttarakhand,Almora,263659,0,4
16-10-2025,Uttarakhand,Almora,263663,1,1
16-10-2025,Uttarakhand,Almora,263667,0,7
16-10-2025,Uttarakhand,Almora,263676,1,2
16-10-2025,Uttarakhand,Bageshwar,263642,0,11
16-10-2025,Uttarakhand,Chamoli,246428,0,7
16-10-2025,Uttarakhand,Chamoli,246472,3,7
16-10-2025,Uttarakhand,Champawat,262523,1,14
16-10-2025,Uttarakhand,Champawat,262527,2,0
16-10-2025,Uttarakhand,Dehradun,248001,22,132
16-10-2025,Uttarakhand,Dehradun,248141,0,4
16-10-2025,Uttarakhand,Dehradun,248143,1,2
16-10-2025,Uttarakhand,Dehradun,248158,0,5
16-10-2025,Uttarakhand,Dehradun,248179,0,8
16-10-2025,Uttarakhand,Dehradun,248199,0,10
16-10-2025,Uttarakhand,Dehradun,249202,1,6
16-10-2025,Uttarakhand,Hardwar,249401,0,1
16-10-2025,Uttarakhand,Haridwar,246763,1,9
16-10-2025,Uttarakhand,Haridwar,247666,1,14
16-10-2025,Uttarakhand,Haridwar,247667,12,110
16-10-2025,Uttarakhand,Haridwar,247668,1,10
16-10-2025,Uttarakhand,Haridwar,247671,2,17
16-10-2025,Uttarakhand,Haridwar,249408,6,26
16-10-2025,Uttarakhand,Nainital,244715,3,38
16-10-2025,Uttarakhand,Pauri Garhwal,246001,0,8
16-10-2025,Uttarakhand,Pauri Garhwal,246121,0,6
16-10-2025,Uttarakhand,Pauri Garhwal,246123,0,2
16-10-2025,Uttarakhand,Pauri Garhwal,246144,1,3
16-10-2025,Uttarakhand,Pauri Garhwal,246146,0,2
16-10-2025,Uttarakhand,Pauri Garhwal,246149,5,36
16-10-2025,Uttarakhand,Pauri Garhwal,246155,0,3
16-10-2025,Uttarakhand,Pauri Garhwal,246162,0,5
16-10-2025,Uttarakhand,Pauri Garhwal,246166,1,1
16-10-2025,Uttarakhand,Pauri Garhwal,246167,0,3
16-10-2025,Uttarakhand,Pithoragarh,262501,3,14
16-10-2025,Uttarakhand,Pithoragarh,262526,0,1
