date,state,district,pincode,demo_age_5_17,demo_age_17_
05-09-2025,WEST BENGAL,HOOGHLY,712232,0,1
15-09-2025,WEST BENGAL,HOWRAH,711312,0,1
16-09-2025,WEST BENGAL,HOOGHLY,712305,0,2
28-12-2025,WEST BENGAL,HOWRAH,711312,0,1
27-11-2025,WEST BENGAL,HOWRAH,711312,0,1
20-11-2025,WEST BENGAL,HOWRAH,711312,0,1
07-11-2025,WEST BENGAL,HOWRAH,711303,0,1
07-09-2025,WEST BENGAL,HOWRAH,711312,0,1
08-09-2025,WEST BENGAL,HOOGHLY,712305,0,1
08-09-2025,WEST BENGAL,hooghly,712401,0,1
10-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
10-09-2025,WEST BENGAL,HOWRAH,711312,0,1
16-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
03-12-2025,WEST BENGAL,HOOGHLY,712232,0,1
26-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
23-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
29-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
08-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
09-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
22-12-2025,WEST BENGAL,hooghly,712401,0,1
10-11-2025,WEST BENGAL,HOOGHLY,712258,0,1
31-10-2025,WEST BENGAL,HOWRAH,711312,0,4
27-11-2025,WEST BENGAL,HOOGHLY,712305,0,1
02-09-2025,WEST BENGAL,HOWRAH,711312,0,1
09-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
15-10-2025,WEST BENGAL,HOOGHLY,712305,0,1
10-11-2025,WEST BENGAL,HOWRAH,711312,0,2
14-11-2025,WEST BENGAL,HOOGHLY,712305,0,2
28-12-2025,WEST BENGAL,HOOGHLY,712305,0,2
28-11-2025,WEST BENGAL,HOWRAH,711312,0,1
16-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
19-12-2025,WEST BENGAL,HOOGHLY,712233,0,2
21-12-2025,WEST BENGAL,HOOGHLY,712305,0,2
15-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
03-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
24-11-2025,WEST BENGAL,HOOGHLY,712305,0,1
27-11-2025,WEST BENGAL,HOOGHLY,712233,0,1
04-09-2025,WEST BENGAL,HOWRAH,711312,0,1
16-09-2025,WEST BENGAL,HOWRAH,711312,0,1
17-09-2025,WEST BENGAL,HOWRAH,711312,0,1
18-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
27-10-2025,WEST BENGAL,HOWRAH,711312,0,1
28-10-2025,WEST BENGAL,HOOGHLY,712233,0,1
29-10-2025,WEST BENGAL,HOOGHLY,712258,0,1
31-10-2025,WEST BENGAL,HOOGHLY,712258,0,1
22-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
29-12-2025,WEST BENGAL,HOOGHLY,712305,0,2
31-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
23-12-2025,WEST BENGAL,HOOGHLY,712258,0,1
20-12-2025,WEST BENGAL,HOOGHLY,712305,0,2
17-12-2025,WEST BENGAL,HOOGHLY,712233,0,2
09-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
17-11-2025,WEST BENGAL,HOOGHLY,712305,0,2
20-11-2025,WEST BENGAL,HOOGHLY,712233,0,1
20-11-2025,WEST BENGAL,HOOGHLY,712258,0,1
05-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
05-09-2025,WEST BENGAL,HOWRAH,711312,0,1
12-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
16-09-2025,WEST BENGAL,HOOGHLY,712233,0,1
19-11-2025,WEST BENGAL,HOOGHLY,712305,0,1
17-10-2025,WEST BENGAL,HOWRAH,711312,0,1
17-10-2025,WEST BENGAL,hooghly,712401,0,1
29-10-2025,WEST BENGAL,HOOGHLY,712232,0,1
16-12-2025,WEST BENGAL,HOOGHLY,712233,0,3
06-12-2025,WEST BENGAL,HOOGHLY,712305,0,4
26-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
23-12-2025,WEST BENGAL,HOOGHLY,712305,0,1
18-12-2025,WEST BENGAL,HOOGHLY,712233,0,1
01-11-2025,WEST BENGAL,HOWRAH,711312,0,1
24-11-2025,WEST BENGAL,HOWRAH,711312,0,2
30-10-2025,WEST BENGAL,HOOGHLY,712258,0,1
26-11-2025,WEST BENGAL,HOWRAH,711312,0,1
02-12-2025,WEST BENGAL,HOOGHLY,712232,0,1
