date,state,district,pincode,demo_age_5_17,demo_age_17_
08-09-2025,WESTBENGAL,HOOGHLY,712233,0,2
10-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
21-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
11-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
16-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
17-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
30-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
02-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
14-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
22-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
13-12-2025,WESTBENGAL,HOOGHLY,712232,0,3
15-09-2025,WESTBENGAL,HOOGHLY,712233,0,2
24-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
08-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
10-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
19-11-2025,WESTBENGAL,HOOGHLY,712258,0,1
12-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
29-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
04-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
25-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
14-11-2025,WESTBENGAL,HOOGHLY,712305,0,1
13-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
23-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
24-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
11-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
18-11-2025,WESTBENGAL,HOOGHLY,712305,0,1
03-11-2025,WESTBENGAL,HOOGHLY,712305,0,2
15-10-2025,WESTBENGAL,HOOGHLY,712233,0,1
28-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
31-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
31-10-2025,WESTBENGAL,HOOGHLY,712305,0,1
05-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
20-12-2025,WESTBENGAL,HOOGHLY,712232,0,1
23-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
13-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
14-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
01-11-2025,WESTBENGAL,HOOGHLY,712233,0,2
21-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
03-09-2025,WESTBENGAL,HOOGHLY,712232,0,1
10-09-2025,WESTBENGAL,HOOGHLY,712232,0,2
18-09-2025,WESTBENGAL,HOOGHLY,712233,0,1
16-10-2025,WESTBENGAL,HOOGHLY,712232,0,1
08-12-2025,WESTBENGAL,HOOGHLY,712233,0,1
29-12-2025,WESTBENGAL,HOOGHLY,712232,0,2
03-01-2026,WESTBENGAL,HOOGHLY,712305,0,1
22-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
16-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
14-12-2025,WESTBENGAL,HOOGHLY,712305,0,1
07-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
13-11-2025,WESTBENGAL,HOOGHLY,712232,0,1
28-11-2025,WESTBENGAL,HOOGHLY,712233,0,1
