date,state,district,pincode,demo_age_5_17,demo_age_17_
03-09-2025,West  Bengal,Hooghly,712124,0,1
16-09-2025,West  Bengal,Hooghly,712222,0,2
19-09-2025,West  Bengal,Hooghly,712134,0,1
13-10-2025,West  Bengal,Hooghly,712135,0,1
13-11-2025,West  Bengal,Hooghly,712124,0,1
26-12-2025,West  Bengal,Hooghly,712135,1,0
28-12-2025,West  Bengal,Hooghly,712124,0,1
01-01-2026,West  Bengal,Hooghly,712222,0,2
27-11-2025,West  Bengal,Hooghly,712221,0,1
23-12-2025,West  Bengal,Hooghly,712149,0,1
21-12-2025,West  Bengal,Hooghly,712135,0,1
11-12-2025,West  Bengal,Hooghly,712134,0,1
15-11-2025,West  Bengal,Hooghly,712222,0,1
28-11-2025,West  Bengal,Hooghly,712124,0,1
17-10-2025,West  Bengal,Hooghly,712222,0,1
27-10-2025,West  Bengal,Hooghly,712135,0,1
30-10-2025,West  Bengal,Hooghly,712149,0,1
28-10-2025,West  Bengal,Hooghly,712134,0,1
01-09-2025,West  Bengal,Hooghly,712134,0,2
03-09-2025,West  Bengal,Hooghly,712135,0,1
03-09-2025,West  Bengal,Hooghly,712149,3,1
07-09-2025,West  Bengal,Hooghly,712135,0,1
06-09-2025,West  Bengal,Hooghly,712135,0,1
20-09-2025,West  Bengal,Hooghly,712134,0,2
13-10-2025,West  Bengal,Hooghly,712134,0,1
13-10-2025,West  Bengal,Hooghly,712221,0,1
15-10-2025,West  Bengal,Hooghly,712134,0,1
05-12-2025,West  Bengal,Hooghly,712149,0,1
28-11-2025,West  Bengal,Hooghly,712221,0,2
29-12-2025,West  Bengal,Hooghly,712222,0,2
23-12-2025,West  Bengal,Hooghly,712124,0,1
24-12-2025,West  Bengal,Hooghly,712222,0,1
03-11-2025,West  Bengal,Hooghly,712134,0,1
26-11-2025,West  Bengal,Hooghly,712221,0,2
02-09-2025,West  Bengal,Hooghly,712134,0,1
18-09-2025,West  Bengal,Hooghly,712134,0,1
18-09-2025,West  Bengal,Hooghly,712222,0,1
19-09-2025,West  Bengal,Hooghly,712149,0,1
16-11-2025,West  Bengal,Hooghly,712222,0,1
24-10-2025,West  Bengal,Hooghly,712222,0,1
26-10-2025,West  Bengal,Hooghly,712135,0,1
25-10-2025,West  Bengal,Hooghly,712222,0,1
29-10-2025,West  Bengal,Hooghly,712222,0,2
06-12-2025,West  Bengal,Hooghly,712221,0,1
04-11-2025,West  Bengal,Hooghly,712222,0,1
29-12-2025,West  Bengal,Hooghly,712135,0,1
31-12-2025,West  Bengal,Hooghly,712222,0,1
13-11-2025,West  Bengal,Hooghly,712149,0,1
18-11-2025,West  Bengal,Hooghly,712124,0,1
21-11-2025,West  Bengal,Hooghly,712149,0,1
24-11-2025,West  Bengal,Hooghly,712149,0,1
24-11-2025,West  Bengal,Hooghly,712222,0,1
25-11-2025,West  Bengal,Hooghly,712221,0,1
02-09-2025,West  Bengal,Hooghly,712149,0,2
04-09-2025,West  Bengal,Hooghly,712221,0,1
12-09-2025,West  Bengal,Hooghly,712149,0,1
12-09-2025,West  Bengal,Hooghly,712221,0,1
02-12-2025,West  Bengal,Hooghly,712149,0,1
14-12-2025,West  Bengal,Hooghly,712221,0,1
15-12-2025,West  Bengal,Hooghly,712134,0,1
31-10-2025,West  Bengal,Hooghly,712222,0,3
09-11-2025,West  Bengal,Hooghly,712135,0,1
08-11-2025,West  Bengal,Hooghly,712222,0,1
19-12-2025,West  Bengal,Hooghly,712222,0,1
27-12-2025,West  Bengal,Hooghly,712222,0,1
31-12-2025,West  Bengal,Hooghly,712124,0,1
25-12-2025,West  Bengal,Hooghly,712222,0,1
26-12-2025,West  Bengal,Hooghly,712222,0,1
18-12-2025,West  Bengal,Hooghly,712222,0,1
06-11-2025,West  Bengal,Hooghly,712221,0,1
04-11-2025,West  Bengal,Hooghly,712135,0,1
14-11-2025,West  Bengal,Hooghly,712135,0,2
13-11-2025,West  Bengal,Hooghly,712222,0,1
10-11-2025,West  Bengal,Hooghly,712149,0,2
31-10-2025,West  Bengal,Hooghly,712134,0,1
31-10-2025,West  Bengal,Hooghly,712135,0,1
30-10-2025,West  Bengal,Hooghly,712222,0,3
01-09-2025,West  Bengal,Hooghly,712222,0,1
03-09-2025,West  Bengal,Hooghly,712222,0,1
05-09-2025,West  Bengal,Hooghly,712149,0,1
04-09-2025,West  Bengal,Hooghly,712149,0,1
10-09-2025,West  Bengal,Hooghly,712222,0,1
11-09-2025,West  Bengal,Hooghly,712222,0,1
13-09-2025,West  Bengal,Hooghly,712222,0,2
16-09-2025,West  Bengal,Hooghly,712134,0,1
19-09-2025,West  Bengal,Hooghly,712222,0,4
18-09-2025,West  Bengal,Hooghly,712135,0,1
11-11-2025,West  Bengal,Hooghly,712149,0,1
10-12-2025,West  Bengal,Hooghly,712222,0,1
27-11-2025,West  Bengal,Hooghly,712222,0,2
28-11-2025,West  Bengal,Hooghly,712149,0,1
01-01-2026,West  Bengal,Hooghly,712135,0,1
01-01-2026,West  Bengal,Hooghly,712149,0,1
18-12-2025,West  Bengal,Hooghly,712135,1,0
18-12-2025,West  Bengal,Hooghly,712149,0,1
19-12-2025,West  Bengal,Hooghly,712149,0,1
22-12-2025,West  Bengal,Hooghly,712135,0,1
17-12-2025,West  Bengal,Hooghly,712222,0,1
08-12-2025,West  Bengal,Hooghly,712222,0,1
12-12-2025,West  Bengal,Hooghly,712149,0,1
12-12-2025,West  Bengal,Hooghly,712221,0,1
03-12-2025,West  Bengal,Hooghly,712222,0,2
07-11-2025,West  Bengal,Hooghly,712135,0,2
14-11-2025,West  Bengal,Hooghly,712222,1,1
01-11-2025,West  Bengal,Hooghly,712135,0,1
02-11-2025,West  Bengal,Hooghly,712135,0,1
29-10-2025,West  Bengal,Hooghly,712149,0,1
