date,state,district,pincode,demo_age_5_17,demo_age_17_
02-09-2025,West Bangal,Hooghly,712136,0,1
06-09-2025,West Bangal,Howrah,711401,0,2
13-09-2025,West Bangal,Hooghly,712101,0,1
17-10-2025,West Bangal,Hooghly,712104,0,1
16-10-2025,West Bangal,Hooghly,712104,0,1
25-10-2025,West Bangal,Howrah,711316,0,1
28-10-2025,West Bangal,Howrah,711401,0,1
12-11-2025,West Bangal,Howrah,711316,0,1
05-11-2025,West Bangal,Hooghly,712101,0,1
09-11-2025,West Bangal,Howrah,711303,0,1
10-11-2025,West Bangal,Hooghly,712101,0,1
11-11-2025,West Bangal,Howrah,711316,0,1
29-12-2025,West Bangal,South 24 Parganas,743368,0,1
18-12-2025,West Bangal,Howrah,711303,1,0
20-12-2025,West Bangal,Howrah,711316,0,1
16-12-2025,West Bangal,Howrah,711316,0,1
03-12-2025,West Bangal,Hooghly,712136,0,2
03-11-2025,West Bangal,Hooghly,712103,0,2
31-10-2025,West Bangal,Hooghly,712101,0,1
17-11-2025,West Bangal,Hooghly,712103,0,1
01-11-2025,West Bangal,Howrah,711303,0,3
25-11-2025,West Bangal,Hooghly,712136,0,1
27-11-2025,West Bangal,Hooghly,712101,0,1
06-09-2025,West Bangal,Hooghly,712101,0,2
12-09-2025,West Bangal,Hooghly,712105,0,1
18-09-2025,West Bangal,Hooghly,712103,0,1
01-11-2025,West Bangal,South 24 Parganas,743368,0,1
05-11-2025,West Bangal,Hooghly,712103,0,1
08-11-2025,West Bangal,Hooghly,712103,0,2
08-11-2025,West Bangal,Howrah,711303,0,1
29-12-2025,West Bangal,Hooghly,712101,0,1
23-12-2025,West Bangal,Hooghly,712104,0,1
27-12-2025,West Bangal,Hooghly,712105,0,1
28-12-2025,West Bangal,Hooghly,712101,0,1
28-11-2025,West Bangal,Howrah,711316,0,1
08-12-2025,West Bangal,Hooghly,712101,0,2
06-11-2025,West Bangal,Hooghly,712101,0,2
04-11-2025,West Bangal,Howrah,711316,0,1
08-11-2025,West Bangal,Howrah,711316,0,1
12-11-2025,West Bangal,Hooghly,712105,0,1
31-10-2025,West Bangal,South 24 Parganas,743368,0,1
20-11-2025,West Bangal,Hooghly,712105,0,1
20-11-2025,West Bangal,Howrah,711303,0,1
01-11-2025,West Bangal,Hooghly,712103,0,1
21-11-2025,West Bangal,Hooghly,712104,0,1
25-11-2025,West Bangal,Hooghly,712101,0,1
24-11-2025,West Bangal,South 24 Parganas,743368,0,2
01-12-2025,West Bangal,Hooghly,712101,0,2
01-12-2025,West Bangal,Hooghly,712136,0,1
28-11-2025,West Bangal,Hooghly,712103,0,1
15-11-2025,West Bangal,Hooghly,712103,0,1
02-12-2025,West Bangal,Hooghly,712103,0,1
04-12-2025,West Bangal,Hooghly,712101,0,1
21-12-2025,West Bangal,Howrah,711303,1,0
23-12-2025,West Bangal,Hooghly,712101,0,1
01-09-2025,West Bangal,Hooghly,712136,0,1
03-09-2025,West Bangal,Howrah,711303,0,2
04-09-2025,West Bangal,Hooghly,712103,0,1
08-09-2025,West Bangal,Howrah,711401,0,1
12-09-2025,West Bangal,Hooghly,712104,0,1
16-09-2025,West Bangal,Hooghly,712104,0,1
17-09-2025,West Bangal,South 24 Parganas,743368,0,1
16-10-2025,West Bangal,Hooghly,712101,0,1
26-10-2025,West Bangal,Howrah,711316,0,1
04-11-2025,West Bangal,South 24 Parganas,743368,0,1
12-11-2025,West Bangal,Howrah,711303,0,1
09-12-2025,West Bangal,Hooghly,712103,0,1
11-12-2025,West Bangal,Howrah,711316,0,1
16-12-2025,West Bangal,Hooghly,712101,0,2
16-12-2025,West Bangal,Hooghly,712103,0,2
12-12-2025,West Bangal,Hooghly,712136,0,1
05-12-2025,West Bangal,South 24 Parganas,743368,0,1
07-11-2025,West Bangal,Hooghly,712101,0,1
10-11-2025,West Bangal,Howrah,711316,0,2
11-11-2025,West Bangal,Hooghly,712103,0,1
24-11-2025,West Bangal,Hooghly,712101,0,1
24-11-2025,West Bangal,Hooghly,712104,0,1
26-11-2025,West Bangal,Hooghly,712101,0,1
01-12-2025,West Bangal,Hooghly,712105,0,1
01-12-2025,West Bangal,South 24 Parganas,743368,0,1
14-11-2025,West Bangal,Hooghly,712101,0,2
21-11-2025,West Bangal,Hooghly,712136,0,2
21-11-2025,West Bangal,Howrah,711303,0,1
29-10-2025,West Bangal,Hooghly,712103,0,1
27-11-2025,West Bangal,Howrah,711316,0,1
28-11-2025,West Bangal,Hooghly,712101,0,1
02-09-2025,West Bangal,Howrah,711316,0,1
03-09-2025,West Bangal,Hooghly,712105,0,1
04-09-2025,West Bangal,Hooghly,712104,0,1
07-09-2025,West Bangal,Howrah,711316,0,1
12-09-2025,West Bangal,Hooghly,712103,1,0
13-09-2025,West Bangal,Hooghly,712104,0,1
16-09-2025,West Bangal,Howrah,711303,0,1
24-10-2025,West Bangal,Hooghly,712105,0,1
25-10-2025,West Bangal,Hooghly,712103,0,2
07-11-2025,West Bangal,Howrah,711401,0,1
05-12-2025,West Bangal,Hooghly,712104,0,1
07-12-2025,West Bangal,Howrah,711303,0,1
10-12-2025,West Bangal,Hooghly,712104,0,1
05-12-2025,West Bangal,Hooghly,712101,0,1
05-12-2025,West Bangal,Howrah,711316,0,1
06-12-2025,West Bangal,Howrah,711303,0,1
23-12-2025,West Bangal,Howrah,711316,0,1
24-12-2025,West Bangal,Hooghly,712105,0,1
26-12-2025,West Bangal,South 24 Parganas,743368,0,2
19-12-2025,West Bangal,Howrah,711316,0,1
06-11-2025,West Bangal,Hooghly,712104,0,1
25-11-2025,West Bangal,Hooghly,712105,0,1
26-11-2025,West Bangal,Hooghly,712103,0,1
16-12-2025,West Bangal,Howrah,711303,0,1
15-12-2025,West Bangal,Howrah,711316,0,2
14-11-2025,West Bangal,Hooghly,712103,0,1
18-11-2025,West Bangal,Hooghly,712101,0,2
20-11-2025,West Bangal,Hooghly,712101,0,1
21-11-2025,West Bangal,Hooghly,712103,0,2
03-11-2025,West Bangal,South 24 Parganas,743368,0,2
31-10-2025,West Bangal,Howrah,711316,0,1
24-11-2025,West Bangal,Hooghly,712103,0,1
22-11-2025,West Bangal,Hooghly,712101,0,1
29-11-2025,West Bangal,Howrah,711316,0,1
03-09-2025,West Bangal,Howrah,711316,1,1
06-09-2025,West Bangal,Howrah,711316,0,1
09-09-2025,West Bangal,Howrah,711316,0,1
