date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,West bengal,hooghly,712415,0,1
02-09-2025,West bengal,hooghly,712401,0,5
10-09-2025,West bengal,South 24 Parganas,743368,0,3
11-12-2025,West bengal,South 24 Parganas,743368,0,1
10-11-2025,West bengal,hooghly,712401,0,2
21-11-2025,West bengal,hooghly,712401,0,1
01-12-2025,West bengal,hooghly,712401,0,1
26-12-2025,West bengal,South 24 Parganas,743368,0,1
03-09-2025,West bengal,hooghly,712401,0,1
09-09-2025,West bengal,hooghly,712415,0,1
04-11-2025,West bengal,hooghly,712415,0,1
11-11-2025,West bengal,Hooghly,712222,0,1
20-11-2025,West bengal,hooghly,712401,0,1
15-11-2025,West bengal,hooghly,712401,0,1
21-11-2025,West bengal,hooghly,712415,0,1
17-10-2025,West bengal,hooghly,712415,0,2
18-10-2025,West bengal,hooghly,712415,0,1
24-10-2025,West bengal,Hooghly,712222,0,1
12-11-2025,West bengal,hooghly,712401,0,1
16-12-2025,West bengal,hooghly,712415,0,3
10-12-2025,West bengal,hooghly,712401,0,2
03-11-2025,West bengal,hooghly,712401,0,1
14-11-2025,West bengal,hooghly,712415,0,1
13-09-2025,West bengal,Hooghly,712222,0,1
15-10-2025,West bengal,hooghly,712401,0,2
15-12-2025,West bengal,hooghly,712415,0,3
08-12-2025,West bengal,hooghly,712401,0,1
18-11-2025,West bengal,hooghly,712415,0,1
01-11-2025,West bengal,South 24 Parganas,743368,0,1
28-11-2025,West bengal,hooghly,712415,0,1
11-09-2025,West bengal,hooghly,712415,0,2
12-09-2025,West bengal,hooghly,712401,0,1
18-09-2025,West bengal,hooghly,712401,0,1
15-10-2025,West bengal,South 24 Parganas,743368,0,1
24-10-2025,West bengal,hooghly,712415,0,1
29-12-2025,West bengal,hooghly,712401,0,1
28-11-2025,West bengal,hooghly,712401,0,1
09-12-2025,West bengal,South 24 Parganas,743368,0,2
05-12-2025,West bengal,hooghly,712401,0,1
06-12-2025,West bengal,Hooghly,712222,0,1
06-12-2025,West bengal,South 24 Parganas,743368,0,1
10-11-2025,West bengal,South 24 Parganas,743368,0,1
11-11-2025,West bengal,South 24 Parganas,743368,0,1
27-11-2025,West bengal,hooghly,712401,0,1
