date,state,district,pincode,demo_age_5_17,demo_age_17_
12-09-2025,Westbengal,Hooghly,712247,0,1
15-09-2025,Westbengal,Hooghly,712232,0,1
16-10-2025,Westbengal,Hooghly,712233,0,1
20-10-2025,Westbengal,Hooghly,712247,0,1
08-11-2025,Westbengal,Hooghly,712247,0,1
18-12-2025,Westbengal,Hooghly,712233,0,1
19-12-2025,Westbengal,Hooghly,712233,0,1
31-12-2025,Westbengal,Howrah,711316,0,1
02-01-2026,Westbengal,Hooghly,712247,0,1
23-12-2025,Westbengal,Hooghly,712247,0,1
27-12-2025,Westbengal,Hooghly,712232,0,1
15-12-2025,Westbengal,Hooghly,712258,0,1
12-11-2025,Westbengal,Hooghly,712258,0,1
11-11-2025,Westbengal,Howrah,711316,0,2
17-11-2025,Westbengal,Hooghly,712233,0,2
15-11-2025,Westbengal,Hooghly,712233,0,1
18-11-2025,Westbengal,Hooghly,712258,0,1
28-10-2025,Westbengal,Hooghly,712305,0,1
17-11-2025,Westbengal,Howrah,711316,0,1
04-12-2025,Westbengal,Hooghly,712247,0,1
06-12-2025,Westbengal,Hooghly,712233,0,1
03-09-2025,Westbengal,Hooghly,712247,0,1
09-12-2025,Westbengal,Hooghly,712247,0,1
21-12-2025,Westbengal,Hooghly,712247,0,1
01-01-2026,Westbengal,Hooghly,712247,0,1
26-12-2025,Westbengal,Hooghly,712233,0,1
16-12-2025,Westbengal,Hooghly,712232,0,2
20-11-2025,Westbengal,Hooghly,712232,0,3
11-11-2025,Westbengal,Hooghly,712232,0,1
11-11-2025,Westbengal,Hooghly,712233,0,1
12-11-2025,Westbengal,Howrah,711307,0,1
17-11-2025,Westbengal,Hooghly,712247,0,1
21-11-2025,Westbengal,Hooghly,712232,0,2
30-10-2025,Westbengal,Hooghly,712247,0,1
01-12-2025,Westbengal,Hooghly,712233,0,1
01-09-2025,Westbengal,Hooghly,712258,0,1
09-09-2025,Westbengal,Hooghly,712232,0,2
19-11-2025,Westbengal,Hooghly,712247,0,1
16-10-2025,Westbengal,Hooghly,712232,0,1
02-11-2025,Westbengal,Hooghly,712247,0,1
08-12-2025,Westbengal,Hooghly,712247,0,1
13-12-2025,Westbengal,Hooghly,712247,0,2
10-12-2025,Westbengal,Hooghly,712232,0,1
10-12-2025,Westbengal,Hooghly,712305,0,1
09-12-2025,Westbengal,Hooghly,712232,0,2
09-12-2025,Westbengal,Hooghly,712233,0,1
20-12-2025,Westbengal,Hooghly,712232,0,1
03-12-2025,Westbengal,Hooghly,712258,0,3
04-12-2025,Westbengal,Hooghly,712232,0,1
06-11-2025,Westbengal,Hooghly,712247,0,1
07-11-2025,Westbengal,Hooghly,712258,0,1
25-12-2025,Westbengal,Hooghly,712232,0,1
17-11-2025,Westbengal,Hooghly,712258,0,1
28-11-2025,Westbengal,Hooghly,712258,0,1
04-09-2025,Westbengal,Hooghly,712232,0,1
08-09-2025,Westbengal,Hooghly,712247,0,1
11-09-2025,Westbengal,Hooghly,712258,0,2
07-12-2025,Westbengal,Hooghly,712247,0,1
07-12-2025,Westbengal,Hooghly,712258,0,1
12-12-2025,Westbengal,Hooghly,712258,0,2
18-10-2025,Westbengal,Howrah,711316,0,1
17-10-2025,Westbengal,Hooghly,712232,0,1
08-11-2025,Westbengal,Howrah,711316,0,1
22-12-2025,Westbengal,Hooghly,712232,0,2
15-12-2025,Westbengal,Hooghly,712232,0,1
27-12-2025,Westbengal,Hooghly,712233,0,1
13-12-2025,Westbengal,Hooghly,712232,0,1
16-12-2025,Westbengal,Hooghly,712247,0,1
06-12-2025,Westbengal,Hooghly,712258,0,2
12-11-2025,Westbengal,Hooghly,712233,0,1
15-11-2025,Westbengal,Howrah,711316,0,1
13-11-2025,Westbengal,Hooghly,712247,0,1
24-11-2025,Westbengal,Hooghly,712247,0,1
25-11-2025,Westbengal,Hooghly,712247,0,2
27-11-2025,Westbengal,Hooghly,712258,0,1
07-09-2025,Westbengal,Hooghly,712233,0,1
10-09-2025,Westbengal,Hooghly,712233,0,1
02-11-2025,Westbengal,Hooghly,712258,0,2
02-12-2025,Westbengal,Hooghly,712232,0,3
03-12-2025,Westbengal,Hooghly,712247,0,2
07-12-2025,Westbengal,Hooghly,712233,0,1
07-11-2025,Westbengal,Howrah,711316,0,1
28-11-2025,Westbengal,Hooghly,712247,0,1
08-12-2025,Westbengal,Hooghly,712258,0,1
13-12-2025,Westbengal,Hooghly,712233,0,1
18-12-2025,Westbengal,Hooghly,712258,0,1
20-12-2025,Westbengal,Hooghly,712247,0,1
17-12-2025,Westbengal,Hooghly,712233,0,1
18-11-2025,Westbengal,Hooghly,712247,0,2
19-11-2025,Westbengal,Hooghly,712258,0,1
25-11-2025,Westbengal,Hooghly,712232,0,3
02-12-2025,Westbengal,Hooghly,712233,0,2
02-12-2025,Westbengal,Hooghly,712247,0,3
27-11-2025,Westbengal,Hooghly,712247,0,2
29-11-2025,Westbengal,Hooghly,712258,0,1
