date,state,district,pincode,demo_age_5_17,demo_age_17_
16-11-2025,andhra pradesh,rangareddi,501218,0,1
18-12-2025,andhra pradesh,rangareddi,501218,0,1
05-09-2025,andhra pradesh,chittoor,517520,0,2
10-09-2025,andhra pradesh,rangareddi,501218,0,2
25-10-2025,andhra pradesh,chittoor,517520,1,1
09-12-2025,andhra pradesh,chittoor,517520,0,1
18-11-2025,andhra pradesh,chittoor,517520,0,2
12-11-2025,andhra pradesh,rangareddi,501218,0,1
08-09-2025,andhra pradesh,chittoor,517520,0,1
23-12-2025,andhra pradesh,rangareddi,501218,0,2
31-12-2025,andhra pradesh,chittoor,517520,0,2
04-11-2025,andhra pradesh,chittoor,517520,1,0
05-11-2025,andhra pradesh,chittoor,517520,1,1
03-11-2025,andhra pradesh,chittoor,517520,0,1
30-10-2025,andhra pradesh,chittoor,517520,0,1
27-11-2025,andhra pradesh,chittoor,517520,0,1
06-09-2025,andhra pradesh,rangareddi,501218,0,1
12-09-2025,andhra pradesh,rangareddi,501218,0,1
17-09-2025,andhra pradesh,rangareddi,501218,0,3
20-09-2025,andhra pradesh,chittoor,517520,0,1
26-10-2025,andhra pradesh,rangareddi,501218,0,1
27-10-2025,andhra pradesh,chittoor,517520,0,2
06-11-2025,andhra pradesh,chittoor,517520,1,0
20-12-2025,andhra pradesh,chittoor,517520,0,2
02-01-2026,andhra pradesh,chittoor,517520,0,1
10-11-2025,andhra pradesh,chittoor,517520,0,2
14-11-2025,andhra pradesh,chittoor,517520,0,1
15-11-2025,andhra pradesh,chittoor,517520,0,1
31-10-2025,andhra pradesh,chittoor,517520,0,2
02-09-2025,andhra pradesh,chittoor,517520,0,1
04-09-2025,andhra pradesh,chittoor,517520,0,1
13-09-2025,andhra pradesh,chittoor,517520,1,1
29-10-2025,andhra pradesh,rangareddi,501218,0,2
17-10-2025,andhra pradesh,chittoor,517520,0,1
28-10-2025,andhra pradesh,rangareddi,501218,0,1
02-11-2025,andhra pradesh,chittoor,517520,0,1
08-11-2025,andhra pradesh,rangareddi,501218,0,1
07-11-2025,andhra pradesh,rangareddi,501218,0,1
04-11-2025,andhra pradesh,rangareddi,501218,0,2
01-01-2026,andhra pradesh,chittoor,517520,0,1
02-12-2025,andhra pradesh,chittoor,517520,0,1
19-11-2025,andhra pradesh,chittoor,517520,0,2
01-12-2025,andhra pradesh,chittoor,517520,0,3
01-09-2025,andhra pradesh,rangareddi,501218,0,1
09-09-2025,andhra pradesh,chittoor,517520,1,1
15-09-2025,andhra pradesh,chittoor,517520,0,1
24-10-2025,andhra pradesh,chittoor,517520,0,2
25-10-2025,andhra pradesh,rangareddi,501218,0,1
07-11-2025,andhra pradesh,chittoor,517520,0,1
12-11-2025,andhra pradesh,chittoor,517520,0,2
13-11-2025,andhra pradesh,chittoor,517520,0,1
13-11-2025,andhra pradesh,rangareddi,501218,0,1
01-01-2026,andhra pradesh,rangareddi,501218,0,2
09-12-2025,andhra pradesh,rangareddi,501218,0,1
19-12-2025,andhra pradesh,rangareddi,501218,0,1
20-12-2025,andhra pradesh,rangareddi,501218,0,1
15-12-2025,andhra pradesh,chittoor,517520,0,1
10-12-2025,andhra pradesh,chittoor,517520,0,1
25-11-2025,andhra pradesh,chittoor,517520,0,1
