date,state,district,pincode,demo_age_5_17,demo_age_17_
10-12-2025,odisha,Gajapati,761201,0,1
28-11-2025,odisha,Gajapati,761207,0,1
04-09-2025,odisha,Gajapati,761208,0,1
18-09-2025,odisha,Gajapati,761207,0,1
08-12-2025,odisha,Gajapati,761208,0,1
02-09-2025,odisha,Gajapati,761207,0,1
20-09-2025,odisha,Gajapati,761201,0,2
25-11-2025,odisha,Gajapati,761207,0,1
08-09-2025,odisha,Gajapati,761207,0,1
19-09-2025,odisha,Gajapati,761207,0,1
24-11-2025,odisha,Gajapati,761207,0,1
01-09-2025,odisha,Gajapati,761208,0,1
15-10-2025,odisha,Gajapati,761207,0,1
01-01-2026,odisha,Gajapati,761208,0,1
09-12-2025,odisha,Gajapati,761208,0,2
04-12-2025,odisha,Gajapati,761208,0,1
29-11-2025,odisha,Gajapati,761208,0,1
