date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,west Bengal,South 24 Parganas,743368,0,1
24-10-2025,west Bengal,South 24 Parganas,743368,0,2
28-10-2025,west Bengal,South 24 Parganas,743368,0,1
03-12-2025,west Bengal,South 24 Parganas,743368,0,1
10-09-2025,west Bengal,South 24 Parganas,743368,0,1
11-11-2025,west Bengal,South 24 Parganas,743368,0,1
10-12-2025,west Bengal,South 24 Parganas,743368,0,1
18-12-2025,west Bengal,South 24 Parganas,743368,0,1
02-09-2025,west Bengal,South 24 Parganas,743368,0,2
06-09-2025,west Bengal,South 24 Parganas,743368,0,1
16-09-2025,west Bengal,South 24 Parganas,743368,0,1
13-10-2025,west Bengal,South 24 Parganas,743368,0,2
18-10-2025,west Bengal,South 24 Parganas,743368,0,1
16-11-2025,west Bengal,South 24 Parganas,743368,0,1
15-12-2025,west Bengal,South 24 Parganas,743368,0,1
