date,state,district,pincode,age_0_5,age_5_17,age_18_greater
29-12-2025,100000,100000,100000,0,0,8
31-12-2025,100000,100000,100000,0,0,4
16-06-2025,100000,100000,100000,0,0,1
02-09-2025,100000,100000,100000,0,0,3
12-09-2025,100000,100000,100000,0,0,2
09-06-2025,100000,100000,100000,0,0,3
11-06-2025,100000,100000,100000,0,0,2
19-06-2025,100000,100000,100000,0,0,3
08-09-2025,100000,100000,100000,0,0,1
09-09-2025,100000,100000,100000,0,0,1
24-10-2025,100000,100000,100000,0,1,0
24-12-2025,100000,100000,100000,0,0,1
25-12-2025,100000,100000,100000,0,0,4
28-12-2025,100000,100000,100000,0,0,5
03-09-2025,100000,100000,100000,0,0,1
11-09-2025,100000,100000,100000,0,0,2
20-09-2025,100000,100000,100000,0,0,1
15-11-2025,100000,100000,100000,0,0,3
19-11-2025,100000,100000,100000,0,0,2
02-01-2026,100000,100000,100000,0,0,3
12-06-2025,100000,100000,100000,0,0,3
19-09-2025,100000,100000,100000,0,0,1
16-11-2025,100000,100000,100000,0,0,2
17-11-2025,100000,100000,100000,0,0,4
15-12-2025,100000,100000,100000,0,0,161
27-12-2025,100000,100000,100000,0,0,4
26-12-2025,100000,100000,100000,0,0,3
17-06-2025,100000,100000,100000,0,0,1
18-06-2025,100000,100000,100000,0,0,1
