date,state,district,pincode,age_0_5,age_5_17,age_18_greater
4/9/2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
4/9/2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
4/9/2025,Andaman & Nicobar Islands,South Andaman,744206,1,0,0
8/9/2025,Andaman & Nicobar Islands,South Andaman,744107,1,0,0
9/9/2025,Andaman & Nicobar Islands,Andamans,744107,1,0,0
12/9/2025,Andaman & Nicobar Islands,South Andaman,744107,1,0,0
11/9/2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
17-09-2025,Andaman & Nicobar Islands,Andamans,744106,1,1,0
18-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
22-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
24-09-2025,Andaman & Nicobar Islands,Andamans,744105,2,0,0
26-10-2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
15-10-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
17-10-2025,Andaman & Nicobar Islands,Andamans,744106,1,0,0
18-10-2025,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
19-10-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
27-10-2025,Andaman & Nicobar Islands,Andamans,744103,2,0,0
1/11/2025,Andaman & Nicobar Islands,Andamans,744107,1,0,0
15-11-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
15-11-2025,Andaman & Nicobar Islands,South Andaman,744107,1,0,0
18-11-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
21-12-2025,Andaman & Nicobar Islands,Andamans,744206,2,0,0
22-12-2025,Andaman & Nicobar Islands,Andamans,744206,1,0,0
27-12-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
29-12-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
29-12-2025,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
9/6/2025,Andaman & Nicobar Islands,South Andaman,744105,2,0,0
11/6/2025,Andaman & Nicobar Islands,Andamans,744103,2,0,0
11/6/2025,Andaman & Nicobar Islands,Andamans,744107,0,1,0
11/6/2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
12/6/2025,Andaman & Nicobar Islands,Andamans,744106,1,0,0
12/6/2025,Andaman & Nicobar Islands,Andamans,744112,1,0,0
16-06-2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
16-06-2025,Andaman & Nicobar Islands,South Andaman,744103,2,0,0
1/9/2025,Andaman & Nicobar Islands,Andamans,744101,0,1,0
1/9/2025,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
22-09-2025,Andaman & Nicobar Islands,South Andaman,744206,1,0,0
26-09-2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
25-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
29-09-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
13-10-2025,Andaman & Nicobar Islands,Andamans,744106,1,0,0
18-10-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
20-10-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
24-10-2025,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
11/11/2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
30-10-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
15-11-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
19-11-2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
15-12-2025,Andaman & Nicobar Islands,Andamans,744107,0,1,0
22-12-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
25-12-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
27-12-2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
26-12-2025,Andaman & Nicobar Islands,South Andaman,744206,1,0,0
31-12-2025,Andaman & Nicobar Islands,Andamans,744103,1,0,0
2/1/2026,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
9/6/2025,Andaman & Nicobar Islands,Andamans,744105,1,0,0
13-06-2025,Andaman & Nicobar Islands,Andamans,744105,1,1,0
18-06-2025,Andaman & Nicobar Islands,Andamans,744206,1,0,0
1/9/2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
1/9/2025,Andaman & Nicobar Islands,South Andaman,744207,1,0,0
2/9/2025,Andaman & Nicobar Islands,Andamans,744107,1,0,0
4/9/2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
5/9/2025,Andaman & Nicobar Islands,South Andaman,744206,2,0,0
11/9/2025,Andaman & Nicobar Islands,South Andaman,744105,2,0,0
17-09-2025,Andaman & Nicobar Islands,Andamans,744101,1,0,0
23-09-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
24-09-2025,Andaman & Nicobar Islands,Andamans,744106,0,1,0
26-09-2025,Andaman & Nicobar Islands,South Andaman,744103,1,0,0
25-09-2025,Andaman & Nicobar Islands,Andamans,744207,1,0,0
13-10-2025,Andaman & Nicobar Islands,South Andaman,744105,1,0,0
18-10-2025,Andaman & Nicobar Islands,South Andaman,744206,1,0,0
