date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Bihar,Araria,854318,30,19,0
01-09-2025,Bihar,Araria,854329,21,2,0
01-09-2025,Bihar,Araria,854333,17,3,0
01-09-2025,Bihar,Araria,854334,5,10,0
01-09-2025,Bihar,Arwal,804401,1,11,0
01-09-2025,Bihar,Arwal,804421,2,10,0
01-09-2025,Bihar,Aurangabad,824121,1,10,0
01-09-2025,Bihar,Aurangabad,824122,1,5,0
01-09-2025,Bihar,Aurangabad,824303,0,3,0
01-09-2025,Bihar,Banka,813104,5,8,0
01-09-2025,Bihar,Begusarai,851115,0,1,0
01-09-2025,Bihar,Begusarai,851126,1,1,0
01-09-2025,Bihar,Begusarai,851127,7,4,0
01-09-2025,Bihar,Begusarai,851133,8,11,0
01-09-2025,Bihar,Begusarai,851204,0,1,0
01-09-2025,Bihar,Bhagalpur,812004,5,4,0
01-09-2025,Bihar,Bhagalpur,813113,1,1,0
01-09-2025,Bihar,Bhagalpur,813204,3,12,0
01-09-2025,Bihar,Bhagalpur,813209,4,10,0
01-09-2025,Bihar,Bhagalpur,813210,7,9,0
01-09-2025,Bihar,Bhagalpur,813231,0,1,0
01-09-2025,Bihar,Bhagalpur,853202,6,4,0
01-09-2025,Bihar,Bhagalpur,853203,7,4,0
01-09-2025,Bihar,Bhojpur,802155,2,5,0
01-09-2025,Bihar,Bhojpur,802156,1,7,0
01-09-2025,Bihar,Bhojpur,802161,4,15,0
01-09-2025,Bihar,Bhojpur,802162,1,3,0
01-09-2025,Bihar,Bhojpur,802164,1,3,0
01-09-2025,Bihar,Bhojpur,802202,1,0,0
01-09-2025,Bihar,Bhojpur,802210,1,2,0
01-09-2025,Bihar,Bhojpur,802223,2,8,0
01-09-2025,Bihar,Bhojpur,802316,1,0,0
01-09-2025,Bihar,Buxar,802118,2,1,0
01-09-2025,Bihar,Buxar,802123,4,7,0
01-09-2025,Bihar,Buxar,802125,1,3,0
01-09-2025,Bihar,Buxar,802130,1,1,0
01-09-2025,Bihar,Buxar,802134,0,6,0
01-09-2025,Bihar,Buxar,802135,0,2,0
01-09-2025,Bihar,Darbhanga,846002,1,2,0
01-09-2025,Bihar,Darbhanga,846005,3,1,0
01-09-2025,Bihar,Darbhanga,846009,4,5,0
01-09-2025,Bihar,Darbhanga,847115,6,1,0
01-09-2025,Bihar,Darbhanga,847123,2,0,0
01-09-2025,Bihar,Darbhanga,847233,1,0,0
01-09-2025,Bihar,Darbhanga,847239,1,1,0
01-09-2025,Bihar,Darbhanga,847405,0,1,0
01-09-2025,Bihar,East Champaran,845416,3,2,0
01-09-2025,Bihar,East Champaran,845418,7,9,0
01-09-2025,Bihar,East Champaran,845428,6,2,0
01-09-2025,Bihar,East Champaran,845432,5,1,0
01-09-2025,Bihar,East Champaran,845456,1,3,0
01-09-2025,Bihar,Gaya,804424,0,2,0
01-09-2025,Bihar,Gaya,823002,2,16,0
01-09-2025,Bihar,Gaya,824205,1,9,0
01-09-2025,Bihar,Gaya,824206,7,6,0
01-09-2025,Bihar,Gaya,824231,3,12,0
01-09-2025,Bihar,Gaya,824235,1,20,0
01-09-2025,Bihar,Gaya,824236,0,9,0
01-09-2025,Bihar,Gopalganj,841407,1,1,0
01-09-2025,Bihar,Gopalganj,841409,3,8,0
01-09-2025,Bihar,Gopalganj,841420,4,0,0
01-09-2025,Bihar,Gopalganj,841426,4,17,0
01-09-2025,Bihar,Gopalganj,841438,3,11,0
01-09-2025,Bihar,Gopalganj,841440,2,1,0
01-09-2025,Bihar,Gopalganj,841501,2,2,0
01-09-2025,Bihar,Gopalganj,841505,2,8,0
01-09-2025,Bihar,Jamui,811313,4,4,0
01-09-2025,Bihar,Jamui,811315,2,9,0
01-09-2025,Bihar,Jamui,811316,0,1,0
01-09-2025,Bihar,Jamui,811317,5,13,0
01-09-2025,Bihar,Jehanabad,804425,0,10,0
01-09-2025,Bihar,Jehanabad,804432,2,7,0
01-09-2025,Bihar,Jehanabad,804433,0,1,0
01-09-2025,Bihar,Kaimur (Bhabua),821105,3,12,0
01-09-2025,Bihar,Kaimur (Bhabua),821108,4,6,0
01-09-2025,Bihar,Kaimur (Bhabua),821109,6,10,0
01-09-2025,Bihar,Kaimur (Bhabua),821110,0,5,0
01-09-2025,Bihar,Katihar,854106,3,2,0
01-09-2025,Bihar,Katihar,854117,6,3,0
01-09-2025,Bihar,Katihar,855105,8,5,0
01-09-2025,Bihar,Khagaria,851202,0,4,1
01-09-2025,Bihar,Khagaria,851216,2,7,0
01-09-2025,Bihar,Khagaria,853203,2,2,0
01-09-2025,Bihar,Kishanganj,855101,31,10,0
01-09-2025,Bihar,Madhepura,852108,1,3,0
01-09-2025,Bihar,Madhepura,852116,2,8,0
01-09-2025,Bihar,Madhepura,852128,8,16,1
01-09-2025,Bihar,Madhubani,847223,6,12,0
01-09-2025,Bihar,Madhubani,847238,0,2,0
01-09-2025,Bihar,Madhubani,847421,3,3,1
01-09-2025,Bihar,Munger,811202,9,9,0
