date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Chhattisgarh,Baloda Bazar,493101,7,1,0
01-09-2025,Chhattisgarh,Baloda Bazar,493222,3,0,0
01-09-2025,Chhattisgarh,Baloda Bazar,493332,5,1,0
01-09-2025,Chhattisgarh,Baloda Bazar,493559,4,1,0
01-09-2025,Chhattisgarh,Balrampur,497001,5,0,0
01-09-2025,Chhattisgarh,Balrampur,497118,18,4,0
01-09-2025,Chhattisgarh,Balrampur,497224,6,4,0
01-09-2025,Chhattisgarh,Balrampur,497225,20,15,0
01-09-2025,Chhattisgarh,Bastar,494222,1,2,0
01-09-2025,Chhattisgarh,Bemetara,491337,2,2,0
01-09-2025,Chhattisgarh,Bemetara,491888,1,0,0
01-09-2025,Chhattisgarh,Bijapur,494450,1,0,0
01-09-2025,Chhattisgarh,Bilaspur,495116,6,1,0
01-09-2025,Chhattisgarh,Bilaspur,495119,5,1,0
01-09-2025,Chhattisgarh,Bilaspur,495220,2,0,0
01-09-2025,Chhattisgarh,Bilaspur,495330,2,1,0
01-09-2025,Chhattisgarh,Bilaspur,495550,7,0,0
01-09-2025,Chhattisgarh,Durg,490036,2,2,0
01-09-2025,Chhattisgarh,Durg,491001,13,4,0
01-09-2025,Chhattisgarh,Durg,491331,1,0,0
01-09-2025,Chhattisgarh,Durg,491332,1,0,0
01-09-2025,Chhattisgarh,Gariyaband,493889,4,2,0
01-09-2025,Chhattisgarh,Jashpur,496224,2,0,0
01-09-2025,Chhattisgarh,Jashpur,496225,4,0,0
01-09-2025,Chhattisgarh,Jashpur,496330,5,1,0
01-09-2025,Chhattisgarh,Jashpur,496331,2,2,0
01-09-2025,Chhattisgarh,Jashpur,496334,4,0,0
01-09-2025,Chhattisgarh,Jashpur,496338,2,1,0
01-09-2025,Chhattisgarh,Kawardha,491995,8,1,0
01-09-2025,Chhattisgarh,Kondagaon,494230,1,0,0
01-09-2025,Chhattisgarh,Korba,495446,4,3,0
01-09-2025,Chhattisgarh,Korba,495674,14,2,0
01-09-2025,Chhattisgarh,Korba,495684,4,1,0
