date,state,district,pincode,age_0_5,age_5_17,age_18_greater
08-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
18-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1,0
09-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
13-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
16-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
11-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
30-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
25-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
31-12-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
17-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
01-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
02-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
05-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1,0
22-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
18-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
19-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,2,0,0
10-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1,0
15-06-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1,0
03-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
10-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
31-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
14-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
06-09-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,0,1,0
15-10-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
02-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
10-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
15-11-2025,Dadra & Nagar Haveli,Dadra & Nagar Haveli,396230,1,0,0
