date,state,district,pincode,age_0_5,age_5_17,age_18_greater
08-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,13,0,1
09-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,18,1,0
11-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,5,0,0
20-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,0,0
19-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,0,0
18-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1,0
18-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,0,0
23-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,1,0
21-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,0,0
24-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,0,0
29-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,0,0
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,7,1,0
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,3,0,0
18-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,0,0
19-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,0,0
24-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,0,0
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,1,0
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
25-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,1,0
29-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,1,0
10-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,1,0
10-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1,0
02-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,3,0,0
12-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,0,1
16-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,0,0
17-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,0,0
15-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,1,0
21-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,0,0
23-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,0,0
25-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1,1
29-12-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
02-01-2026,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,9,1,0
10-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,4,0
11-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,1,0
14-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,3,0
14-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,2,0
17-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,0,1,0
19-06-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,0,1,0
02-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,3,0
04-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,0,0
05-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,1,0,0
09-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
10-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,11,3,0
10-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,0,1,0
11-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,5,0,0
14-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,1,0
15-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396193,1,0,0
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,9,0,0
13-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,0,0
16-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,2,0,0
22-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,9,0,0
24-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,4,1,0
26-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,10,0,0
29-09-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,0,1,0
26-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,1,0
13-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,1,0
15-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,14,0,0
17-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
28-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,1,0,0
27-10-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,2,0,0
03-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
06-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,1,0
13-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,0,0
17-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,4,0,0
18-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,1,0,0
25-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,5,2,0
11-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,8,0,0
14-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396240,2,0,0
15-11-2025,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,6,3,0
