date,state,district,pincode,age_0_5,age_5_17,age_18_greater
04-09-2025,Daman & Diu,Daman,396210,1,0,0
16-09-2025,Daman & Diu,Diu,362520,1,0,0
13-10-2025,Daman & Diu,Diu,362540,1,0,0
31-10-2025,Daman & Diu,Daman,396210,0,1,0
02-11-2025,Daman & Diu,Daman,396210,1,0,0
18-09-2025,Daman & Diu,Diu,362520,1,0,0
21-09-2025,Daman & Diu,Daman,396210,1,0,0
24-09-2025,Daman & Diu,Diu,362570,1,0,0
08-11-2025,Daman & Diu,Diu,362570,1,0,0
18-11-2025,Daman & Diu,Daman,396210,1,0,0
21-12-2025,Daman & Diu,Daman,396210,1,0,0
29-12-2025,Daman & Diu,Daman,396210,1,0,0
11-06-2025,Daman & Diu,Daman,396210,1,0,0
02-09-2025,Daman & Diu,Diu,362570,1,0,0
12-09-2025,Daman & Diu,Diu,362570,2,0,0
13-10-2025,Daman & Diu,Diu,362570,1,0,0
29-12-2025,Daman & Diu,Diu,362570,1,0,0
12-06-2025,Daman & Diu,Daman,396210,0,1,0
16-06-2025,Daman & Diu,Daman,396210,1,0,0
19-06-2025,Daman & Diu,Daman,396210,0,1,0
16-10-2025,Daman & Diu,Diu,362540,1,0,0
09-06-2025,Daman & Diu,Daman,396210,1,0,0
13-06-2025,Daman & Diu,Diu,362570,1,0,0
16-06-2025,Daman & Diu,Diu,362570,1,0,0
25-09-2025,Daman & Diu,Daman,396220,1,0,0
22-12-2025,Daman & Diu,Daman,396210,1,0,0
21-12-2025,Daman & Diu,Diu,362570,1,0,0
23-12-2025,Daman & Diu,Diu,362520,1,0,0
10-06-2025,Daman & Diu,Daman,396210,1,2,0
13-06-2025,Daman & Diu,Diu,362540,1,0,0
