date,state,district,pincode,age_0_5,age_5_17,age_18_greater
09-09-2025,Daman and Diu,Daman,396210,1,0,0
12-09-2025,Daman and Diu,Diu,362540,1,0,0
13-09-2025,Daman and Diu,Diu,362540,1,0,0
16-09-2025,Daman and Diu,Daman,396210,1,0,0
26-09-2025,Daman and Diu,Daman,396210,1,0,0
24-10-2025,Daman and Diu,Diu,362570,1,0,0
28-10-2025,Daman and Diu,Diu,362570,2,0,0
29-10-2025,Daman and Diu,Diu,362570,1,0,0
30-10-2025,Daman and Diu,Daman,396220,1,0,0
31-10-2025,Daman and Diu,Daman,396210,1,0,0
15-11-2025,Daman and Diu,Diu,362520,2,0,0
08-11-2025,Daman and Diu,Daman,396210,2,1,0
08-11-2025,Daman and Diu,Diu,362570,1,1,0
18-11-2025,Daman and Diu,Daman,396210,1,2,0
19-11-2025,Daman and Diu,Diu,362540,1,0,0
19-11-2025,Daman and Diu,Diu,362570,2,0,0
15-12-2025,Daman and Diu,Diu,362520,0,1,0
21-12-2025,Daman and Diu,Daman,396210,2,0,0
21-12-2025,Daman and Diu,Daman,396215,1,0,0
24-12-2025,Daman and Diu,Daman,396210,1,0,0
23-12-2025,Daman and Diu,Diu,362570,1,0,0
29-12-2025,Daman and Diu,Diu,362520,1,0,0
01-01-2026,Daman and Diu,Diu,362540,1,0,0
11-06-2025,Daman and Diu,Daman,396210,1,0,0
02-09-2025,Daman and Diu,Daman,396210,1,0,0
14-09-2025,Daman and Diu,Daman,396210,0,1,0
13-09-2025,Daman and Diu,Daman,396210,1,0,0
24-09-2025,Daman and Diu,Diu,362540,1,0,0
24-09-2025,Daman and Diu,Diu,362570,1,0,0
13-10-2025,Daman and Diu,Daman,396220,0,1,0
15-10-2025,Daman and Diu,Diu,362520,1,0,0
15-10-2025,Daman and Diu,Diu,362540,1,0,0
21-10-2025,Daman and Diu,Daman,396210,1,0,0
27-10-2025,Daman and Diu,Diu,362520,1,0,0
09-11-2025,Daman and Diu,Daman,396210,0,1,0
09-11-2025,Daman and Diu,Diu,362540,1,0,0
02-11-2025,Daman and Diu,Daman,396215,0,1,0
15-11-2025,Daman and Diu,Daman,396210,1,0,0
17-11-2025,Daman and Diu,Diu,362570,1,0,0
15-12-2025,Daman and Diu,Diu,362570,1,0,0
21-12-2025,Daman and Diu,Diu,362570,2,0,0
02-01-2026,Daman and Diu,Daman,396210,0,1,0
02-01-2026,Daman and Diu,Diu,362520,1,0,0
17-06-2025,Daman and Diu,Daman,396220,1,0,0
01-09-2025,Daman and Diu,Daman,396210,2,1,0
03-09-2025,Daman and Diu,Daman,396215,0,1,0
12-09-2025,Daman and Diu,Diu,362520,1,0,0
15-09-2025,Daman and Diu,Daman,396210,1,0,0
26-09-2025,Daman and Diu,Diu,362570,1,0,0
16-10-2025,Daman and Diu,Diu,362570,1,0,0
18-10-2025,Daman and Diu,Diu,362520,1,0,0
11-11-2025,Daman and Diu,Diu,362570,1,0,0
12-11-2025,Daman and Diu,Diu,362570,1,0,0
10-11-2025,Daman and Diu,Diu,362570,1,0,0
16-11-2025,Daman and Diu,Daman,396215,1,0,0
25-11-2025,Daman and Diu,Daman,396210,2,0,0
22-12-2025,Daman and Diu,Diu,362570,2,0,0
26-12-2025,Daman and Diu,Diu,362540,2,0,0
29-12-2025,Daman and Diu,Daman,396215,1,0,0
09-06-2025,Daman and Diu,Diu,362570,1,0,0
10-06-2025,Daman and Diu,Diu,362570,1,0,0
13-06-2025,Daman and Diu,Daman,396215,0,1,0
16-06-2025,Daman and Diu,Daman,396210,3,2,0
17-06-2025,Daman and Diu,Daman,396210,0,2,0
19-06-2025,Daman and Diu,Diu,362570,2,0,0
09-09-2025,Daman and Diu,Diu,362570,3,0,0
22-09-2025,Daman and Diu,Daman,396215,1,0,0
25-09-2025,Daman and Diu,Diu,362540,1,0,0
13-10-2025,Daman and Diu,Daman,396210,2,0,0
18-10-2025,Daman and Diu,Diu,362540,2,0,0
25-10-2025,Daman and Diu,Diu,362570,1,0,0
02-11-2025,Daman and Diu,Diu,362570,1,0,0
05-11-2025,Daman and Diu,Diu,362540,1,0,0
10-11-2025,Daman and Diu,Daman,396210,1,0,0
09-11-2025,Daman and Diu,Diu,362570,2,0,0
14-11-2025,Daman and Diu,Daman,396210,3,0,0
15-11-2025,Daman and Diu,Daman,396215,2,0,0
16-11-2025,Daman and Diu,Diu,362570,1,0,0
17-11-2025,Daman and Diu,Daman,396220,1,0,0
15-12-2025,Daman and Diu,Daman,396210,3,0,0
22-12-2025,Daman and Diu,Daman,396210,1,0,0
24-12-2025,Daman and Diu,Diu,362540,1,0,0
25-12-2025,Daman and Diu,Daman,396210,2,0,0
25-12-2025,Daman and Diu,Diu,362570,1,0,0
10-06-2025,Daman and Diu,Daman,396210,1,1,0
11-06-2025,Daman and Diu,Daman,396215,0,1,0
11-06-2025,Daman and Diu,Diu,362540,1,0,0
16-06-2025,Daman and Diu,Daman,396215,0,1,0
08-09-2025,Daman and Diu,Diu,362570,1,0,0
11-09-2025,Daman and Diu,Daman,396215,1,0,0
11-09-2025,Daman and Diu,Daman,396220,1,0,0
18-09-2025,Daman and Diu,Daman,396210,1,0,0
17-09-2025,Daman and Diu,Daman,396210,2,0,0
22-09-2025,Daman and Diu,Daman,396210,0,1,0
17-10-2025,Daman and Diu,Diu,362570,1,0,0
28-10-2025,Daman and Diu,Diu,362540,1,0,0
31-10-2025,Daman and Diu,Daman,396215,1,0,0
02-11-2025,Daman and Diu,Daman,396220,1,0,0
12-11-2025,Daman and Diu,Diu,362520,1,0,0
07-11-2025,Daman and Diu,Diu,362540,1,0,0
24-12-2025,Daman and Diu,Diu,362570,1,0,0
25-12-2025,Daman and Diu,Diu,362540,1,0,0
27-12-2025,Daman and Diu,Diu,362540,1,0,0
31-12-2025,Daman and Diu,Daman,396215,0,1,0
12-06-2025,Daman and Diu,Diu,362520,1,1,0
12-06-2025,Daman and Diu,Diu,362570,2,0,0
14-06-2025,Daman and Diu,Daman,396210,0,2,0
18-06-2025,Daman and Diu,Diu,362570,2,0,0
