date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Delhi,Central Delhi,110005,4,5,0
01-09-2025,Delhi,East Delhi,110031,9,3,1
01-09-2025,Delhi,East Delhi,110053,2,1,0
01-09-2025,Delhi,New Delhi,110001,2,0,0
01-09-2025,Delhi,North Delhi,110007,10,2,0
01-09-2025,Delhi,North East Delhi,110053,17,4,0
01-09-2025,Delhi,North West Delhi,110009,2,1,0
01-09-2025,Delhi,North West Delhi,110040,5,6,1
01-09-2025,Delhi,North West Delhi,110088,1,0,0
01-09-2025,Delhi,South Delhi,110013,1,1,0
01-09-2025,Delhi,South Delhi,110016,1,1,0
01-09-2025,Delhi,South Delhi,110047,4,1,0
01-09-2025,Delhi,South Delhi,110068,2,0,1
01-09-2025,Delhi,South West Delhi,110022,3,1,1
01-09-2025,Delhi,South West Delhi,110038,1,0,0
01-09-2025,Delhi,South West Delhi,110077,3,2,0
01-09-2025,Delhi,South West Delhi,110078,9,0,1
01-04-2025,Delhi,North West Delhi,110040,221,134,28
01-04-2025,Delhi,Central Delhi,110003,80,41,12
01-04-2025,Delhi,South Delhi,110017,151,35,12
01-05-2025,Delhi,East Delhi,110051,185,67,19
01-05-2025,Delhi,East Delhi,110092,485,213,36
01-05-2025,Delhi,South Delhi,110017,118,54,17
01-06-2025,Delhi,South Delhi,110062,452,188,10
01-06-2025,Delhi,West Delhi,110059,1193,403,199
01-06-2025,Delhi,West Delhi,110027,140,52,17
01-07-2025,Delhi,South Delhi,110029,57,15,16
01-07-2025,Delhi,New Delhi,110061,52,52,46
01-07-2025,Delhi,South Delhi,110065,129,52,20
01-07-2025,Delhi,Central Delhi,110054,103,33,10
01-04-2025,Delhi,North West Delhi,110085,387,114,13
03-09-2025,Delhi,Najafgarh,110043,1,0,0
03-09-2025,Delhi,North East Delhi,110053,13,5,0
03-09-2025,Delhi,North East Delhi,110094,35,29,0
03-09-2025,Delhi,North West Delhi,110009,3,5,0
03-09-2025,Delhi,North West Delhi,110033,7,0,0
03-09-2025,Delhi,North West Delhi,110040,5,0,0
03-09-2025,Delhi,South Delhi,110013,1,1,0
03-09-2025,Delhi,South Delhi,110019,10,0,1
03-09-2025,Delhi,South Delhi,110025,4,2,0
03-09-2025,Delhi,South Delhi,110044,15,9,0
03-09-2025,Delhi,South Delhi,110047,2,1,0
03-09-2025,Delhi,South Delhi,110065,4,0,1
03-09-2025,Delhi,South Delhi,110080,4,2,0
03-09-2025,Delhi,South West Delhi,110037,4,2,1
03-09-2025,Delhi,South West Delhi,110061,1,0,0
03-09-2025,Delhi,South West Delhi,110070,3,3,3
03-09-2025,Delhi,South West Delhi,110072,3,1,0
03-09-2025,Delhi,West Delhi,110063,8,3,0
03-09-2025,Delhi,West Delhi,110087,2,0,0
02-09-2025,Delhi,Central Delhi,110008,3,1,0
02-09-2025,Delhi,East Delhi,110031,9,5,0
02-09-2025,Delhi,East Delhi,110096,7,2,0
02-09-2025,Delhi,New Delhi,110023,1,0,0
02-09-2025,Delhi,North East Delhi,110094,31,13,0
02-09-2025,Delhi,North West Delhi,110009,8,2,1
02-09-2025,Delhi,North West Delhi,110052,6,2,0
02-09-2025,Delhi,North West Delhi,110085,10,4,0
02-09-2025,Delhi,Shahdara,110032,2,0,0
02-09-2025,Delhi,Shahdara,110095,1,1,0
02-09-2025,Delhi,South Delhi,110044,14,5,0
