date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Goa,North Goa,403006,1,1,0
01-09-2025,Goa,North Goa,403114,1,0,0
01-09-2025,Goa,North Goa,403512,1,0,0
01-09-2025,Goa,North Goa,403529,1,0,0
01-09-2025,Goa,South Goa,403406,1,0,0
01-09-2025,Goa,South Goa,403802,1,0,1
03-09-2025,Goa,North Goa,403401,2,0,0
03-09-2025,Goa,North Goa,403503,1,0,0
03-09-2025,Goa,South Goa,403705,1,0,0
03-09-2025,Goa,South Goa,403726,1,0,0
02-09-2025,Goa,North Goa,403108,0,0,1
02-09-2025,Goa,North Goa,403507,1,0,0
02-09-2025,Goa,North Goa,403508,1,0,0
02-09-2025,Goa,South Goa,403709,1,0,0
05-09-2025,Goa,North Goa,403110,0,0,1
05-09-2025,Goa,North Goa,403401,2,0,0
05-09-2025,Goa,South Goa,403409,0,1,0
05-09-2025,Goa,South Goa,403708,0,0,2
05-09-2025,Goa,South Goa,403802,2,0,0
06-09-2025,Goa,North Goa,403513,1,0,0
06-09-2025,Goa,South Goa,403601,2,0,0
06-09-2025,Goa,South Goa,403707,3,0,0
04-09-2025,Goa,North Goa,403401,2,0,0
04-09-2025,Goa,South Goa,403601,3,2,0
04-09-2025,Goa,South Goa,403710,1,0,0
04-09-2025,Goa,South Goa,403712,1,0,0
08-09-2025,Goa,North Goa,403101,1,0,0
08-09-2025,Goa,North Goa,403110,1,0,0
08-09-2025,Goa,North Goa,403114,1,1,0
08-09-2025,Goa,North Goa,403202,1,0,0
08-09-2025,Goa,North Goa,403401,3,0,0
08-09-2025,Goa,North Goa,403517,1,0,0
08-09-2025,Goa,South Goa,403601,0,1,0
08-09-2025,Goa,South Goa,403704,1,0,0
08-09-2025,Goa,South Goa,403801,2,0,0
09-09-2025,Goa,North Goa,403001,0,1,0
09-09-2025,Goa,North Goa,403002,0,0,1
09-09-2025,Goa,North Goa,403005,0,0,1
09-09-2025,Goa,North Goa,403101,1,0,0
09-09-2025,Goa,North Goa,403401,2,0,0
09-09-2025,Goa,North Goa,403502,3,0,0
09-09-2025,Goa,North Goa,403504,1,0,0
09-09-2025,Goa,South Goa,403726,1,0,0
10-09-2025,Goa,North Goa,403107,2,0,0
10-09-2025,Goa,North Goa,403401,4,4,0
10-09-2025,Goa,North Goa,403506,3,0,0
10-09-2025,Goa,North Goa,403523,1,0,0
10-09-2025,Goa,South Goa,403409,1,0,0
10-09-2025,Goa,South Goa,403702,2,0,0
10-09-2025,Goa,South Goa,403704,1,0,0
10-09-2025,Goa,South Goa,403706,1,0,0
10-09-2025,Goa,South Goa,403711,1,0,0
10-09-2025,Goa,South Goa,403728,1,0,0
11-09-2025,Goa,North Goa,403401,0,1,0
11-09-2025,Goa,North Goa,403402,1,0,0
11-09-2025,Goa,North Goa,403511,1,0,0
11-09-2025,Goa,North Goa,403521,1,0,0
