date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Gujarat,Ahmadabad,380054,1,0,0
01-09-2025,Gujarat,Ahmadabad,382350,3,0,0
01-09-2025,Gujarat,Ahmedabad,380005,4,0,0
01-09-2025,Gujarat,Ahmedabad,380008,2,1,0
01-09-2025,Gujarat,Ahmedabad,380022,1,3,0
01-09-2025,Gujarat,Ahmedabad,380024,2,0,0
01-09-2025,Gujarat,Ahmedabad,380026,8,1,0
01-09-2025,Gujarat,Ahmedabad,380055,11,1,0
01-09-2025,Gujarat,Ahmedabad,380059,0,2,0
01-09-2025,Gujarat,Ahmedabad,382260,2,0,0
01-09-2025,Gujarat,Ahmedabad,382418,7,7,0
01-09-2025,Gujarat,Ahmedabad,382424,4,2,0
01-09-2025,Gujarat,Ahmedabad,382470,4,0,0
01-09-2025,Gujarat,Ahmedabad,382480,0,1,0
01-09-2025,Gujarat,Amreli,365610,2,0,0
01-09-2025,Gujarat,Amreli,365635,1,0,0
01-09-2025,Gujarat,Anand,388150,1,0,0
01-09-2025,Gujarat,Anand,388350,2,0,1
01-09-2025,Gujarat,Anand,388530,1,1,0
01-09-2025,Gujarat,Arvalli,383246,0,1,0
01-09-2025,Gujarat,Arvalli,383310,1,0,0
01-09-2025,Gujarat,Arvalli,383320,1,0,0
01-09-2025,Gujarat,Arvalli,383345,2,0,0
01-09-2025,Gujarat,Arvalli,383355,3,0,0
01-09-2025,Gujarat,Banas Kantha,385210,1,0,0
01-09-2025,Gujarat,Banaskantha,385110,3,9,0
01-09-2025,Gujarat,Banaskantha,385330,19,8,1
01-09-2025,Gujarat,Banaskantha,385421,2,2,0
01-09-2025,Gujarat,Banaskantha,385545,7,13,0
01-09-2025,Gujarat,Banaskantha,385555,8,5,1
01-09-2025,Gujarat,Banaskantha,385570,6,1,0
01-09-2025,Gujarat,Bharuch,392011,3,0,0
01-09-2025,Gujarat,Bharuch,392020,2,0,0
01-09-2025,Gujarat,Bharuch,392025,2,0,0
01-09-2025,Gujarat,Bharuch,392130,0,0,1
01-09-2025,Gujarat,Bharuch,392220,1,0,0
01-09-2025,Gujarat,Bharuch,393115,1,0,0
01-09-2025,Gujarat,Bharuch,393120,1,0,0
01-09-2025,Gujarat,Bhavnagar,364070,2,1,0
01-09-2025,Gujarat,Bhavnagar,364140,13,2,0
01-09-2025,Gujarat,Bhavnagar,364275,3,0,0
01-09-2025,Gujarat,Bhavnagar,364505,1,0,0
01-09-2025,Gujarat,Botad,364720,1,0,0
01-09-2025,Gujarat,Chhotaudepur,391170,1,1,0
01-09-2025,Gujarat,Dahod,389140,10,13,0
01-09-2025,Gujarat,Dahod,389160,1,0,0
01-09-2025,Gujarat,Devbhumi Dwarka,360510,3,0,0
01-09-2025,Gujarat,Devbhumi Dwarka,361325,5,0,0
01-09-2025,Gujarat,Dohad,389154,3,4,0
01-09-2025,Gujarat,Dohad,389172,0,3,0
01-09-2025,Gujarat,Dohad,389190,1,0,0
01-09-2025,Gujarat,Gandhinagar,382028,2,0,0
01-09-2025,Gujarat,Gandhinagar,382305,4,2,0
01-09-2025,Gujarat,Gandhinagar,382308,2,1,0
01-09-2025,Gujarat,Gandhinagar,382422,1,0,0
01-09-2025,Gujarat,Gandhinagar,382424,0,1,0
01-09-2025,Gujarat,Gandhinagar,382729,0,0,2
01-09-2025,Gujarat,Gandhinagar,382740,0,0,1
01-09-2025,Gujarat,Gandhinagar,382810,6,0,0
01-09-2025,Gujarat,Gir Somnath,362269,1,0,0
01-09-2025,Gujarat,Gir Somnath,362720,6,0,0
01-09-2025,Gujarat,Jamnagar,360531,0,1,0
01-09-2025,Gujarat,Jamnagar,361006,3,1,0
01-09-2025,Gujarat,Jamnagar,361007,4,0,0
01-09-2025,Gujarat,Jamnagar,361010,2,0,0
01-09-2025,Gujarat,Junagadh,362002,1,0,0
01-09-2025,Gujarat,Junagadh,362020,2,0,0
01-09-2025,Gujarat,Junagadh,362150,2,0,0
01-09-2025,Gujarat,Junagadh,362205,2,1,0
01-09-2025,Gujarat,Junagadh,362220,6,1,1
01-09-2025,Gujarat,Junagadh,362222,0,2,0
01-09-2025,Gujarat,Junagadh,362225,16,1,1
01-09-2025,Gujarat,Junagadh,362226,2,0,0
01-09-2025,Gujarat,Junagadh,362250,3,1,0
01-09-2025,Gujarat,Junagadh,362263,2,0,0
01-09-2025,Gujarat,Junagadh,362265,3,0,0
01-09-2025,Gujarat,Junagadh,362565,0,2,0
01-09-2025,Gujarat,Junagadh,362630,1,1,0
01-09-2025,Gujarat,Kachchh,370240,11,1,0
01-09-2025,Gujarat,Kachchh,370445,2,0,0
01-09-2025,Gujarat,Kachchh,370455,1,0,1
01-09-2025,Gujarat,Kachchh,370475,0,1,0
01-09-2025,Gujarat,Kachchh,370490,2,0,0
01-09-2025,Gujarat,Kachchh,370602,0,1,0
01-09-2025,Gujarat,Kachchh,370615,1,0,0
01-09-2025,Gujarat,Kachchh,370640,2,0,0
01-09-2025,Gujarat,Kheda,387002,1,0,0
01-09-2025,Gujarat,Kheda,387330,2,0,0
01-09-2025,Gujarat,Kheda,387510,0,1,0
01-09-2025,Gujarat,Kheda,387640,2,1,0
