date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Haryana,Bhiwani,127021,10,1,0
01-09-2025,Haryana,Bhiwani,127022,2,0,0
01-09-2025,Haryana,Bhiwani,127040,5,0,0
01-09-2025,Haryana,Bhiwani,127201,1,1,0
01-09-2025,Haryana,Bhiwani,127308,1,0,0
01-09-2025,Haryana,Charkhi Dadri,127310,1,0,0
01-09-2025,Haryana,Faridabad,121007,2,0,1
01-09-2025,Haryana,Faridabad,121009,1,0,0
01-09-2025,Haryana,Faridabad,121013,2,1,0
01-09-2025,Haryana,Fatehabad,125048,3,0,0
01-09-2025,Haryana,Fatehabad,125106,3,0,0
01-09-2025,Haryana,Hisar,125001,21,3,0
01-09-2025,Haryana,Hisar,125037,1,0,0
01-09-2025,Haryana,Hisar,125038,1,0,0
01-09-2025,Haryana,Hisar,125121,5,0,0
01-09-2025,Haryana,Jhajjar,124103,13,2,0
01-09-2025,Haryana,Jhajjar,124104,1,0,0
01-09-2025,Haryana,Jhajjar,124201,1,0,0
01-09-2025,Haryana,Jind,126110,3,0,0
01-09-2025,Haryana,Jind,126112,2,1,0
01-09-2025,Haryana,Jind,126125,3,0,0
01-09-2025,Haryana,Kaithal,136026,1,0,0
01-09-2025,Haryana,Kaithal,136117,7,0,0
01-09-2025,Haryana,Karnal,132039,1,0,0
01-09-2025,Haryana,Kurukshetra,136030,1,0,0
01-09-2025,Haryana,Mahendragarh,123027,5,0,0
01-09-2025,Haryana,Mahendragarh,123034,2,0,0
01-09-2025,Haryana,Mewat,122108,22,1,0
01-09-2025,Haryana,Panipat,132108,2,0,0
01-09-2025,Haryana,Panipat,132140,1,0,0
01-09-2025,Haryana,Rewari,123106,1,2,0
01-09-2025,Haryana,Rewari,123501,5,0,0
01-09-2025,Haryana,Rohtak,124001,11,0,0
01-09-2025,Haryana,Sirsa,125055,7,1,0
01-09-2025,Haryana,Sirsa,125078,2,0,0
01-09-2025,Haryana,Sonipat,131039,1,0,0
01-09-2025,Haryana,Sonipat,131302,2,0,0
01-09-2025,Haryana,Yamuna Nagar,133206,1,0,0
01-09-2025,Haryana,Yamuna Nagar,135001,5,0,0
01-09-2025,Haryana,Yamuna Nagar,135101,3,0,0
01-06-2025,Haryana,Faridabad,121001,421,86,18
01-06-2025,Haryana,Faridabad,121002,197,84,14
01-06-2025,Haryana,Kaithal,136027,406,19,10
01-07-2025,Haryana,Panipat,132103,1344,169,10
03-09-2025,Haryana,Bhiwani,127025,1,0,0
03-09-2025,Haryana,Bhiwani,127029,1,0,0
03-09-2025,Haryana,Bhiwani,127046,5,0,0
03-09-2025,Haryana,Bhiwani,127114,1,0,0
03-09-2025,Haryana,Bhiwani,127201,6,0,0
03-09-2025,Haryana,Charkhi Dadri,127026,2,0,0
03-09-2025,Haryana,Charkhi Dadri,127310,1,0,0
03-09-2025,Haryana,Faridabad,121001,6,0,1
03-09-2025,Haryana,Faridabad,121006,2,2,0
03-09-2025,Haryana,Gurgaon,122003,3,0,1
03-09-2025,Haryana,Gurgaon,122018,0,1,2
03-09-2025,Haryana,Gurgaon,122103,8,0,0
03-09-2025,Haryana,Gurgaon,122505,2,0,0
03-09-2025,Haryana,Hisar,125001,13,2,0
03-09-2025,Haryana,Hisar,125037,1,0,0
03-09-2025,Haryana,Hisar,125044,1,0,0
03-09-2025,Haryana,Hisar,125049,2,0,0
03-09-2025,Haryana,Jind,126152,3,0,0
03-09-2025,Haryana,Kaithal,136020,1,0,0
03-09-2025,Haryana,Kaithal,136044,3,0,0
03-09-2025,Haryana,Karnal,132046,4,0,0
03-09-2025,Haryana,Karnal,132054,2,0,0
03-09-2025,Haryana,Kurukshetra,136038,1,0,0
03-09-2025,Haryana,Kurukshetra,136118,5,1,0
03-09-2025,Haryana,Kurukshetra,136128,1,0,0
03-09-2025,Haryana,Kurukshetra,136135,1,0,0
03-09-2025,Haryana,Mahendragarh,123001,14,0,0
03-09-2025,Haryana,Mahendragarh,123027,2,0,0
03-09-2025,Haryana,Mahendragarh,123028,2,0,0
03-09-2025,Haryana,Mewat,122103,7,1,0
03-09-2025,Haryana,Panchkula,134118,1,0,0
03-09-2025,Haryana,Panipat,132105,1,0,0
03-09-2025,Haryana,Rewari,123101,1,0,0
03-09-2025,Haryana,Rewari,123103,1,1,0
03-09-2025,Haryana,Rewari,123411,2,0,0
03-09-2025,Haryana,Rohtak,124303,2,0,0
03-09-2025,Haryana,Rohtak,124513,1,0,0
03-09-2025,Haryana,Rohtak,124514,0,1,0
03-09-2025,Haryana,Sirsa,125058,1,0,0
03-09-2025,Haryana,Sonipat,131403,1,0,0
03-09-2025,Haryana,Sonipat,131408,1,0,0
03-09-2025,Haryana,Yamuna Nagar,135103,1,0,0
02-09-2025,Haryana,Ambala,133021,1,0,0
02-09-2025,Haryana,Ambala,133101,1,0,0
02-09-2025,Haryana,Ambala,133104,2,0,0
02-09-2025,Haryana,Ambala,133203,1,0,0
02-09-2025,Haryana,Ambala,134202,6,0,0
02-09-2025,Haryana,Bhiwani,127043,1,1,0
02-09-2025,Haryana,Bhiwani,127046,4,0,0
02-09-2025,Haryana,Bhiwani,127306,2,0,0
02-09-2025,Haryana,Faridabad,121004,28,7,1
02-09-2025,Haryana,Gurgaon,122003,5,0,0
02-09-2025,Haryana,Gurgaon,122103,9,0,0
02-09-2025,Haryana,Hisar,125004,1,0,0
02-09-2025,Haryana,Hisar,125039,2,0,0
02-09-2025,Haryana,Jhajjar,124103,4,0,0
02-09-2025,Haryana,Jhajjar,124507,9,0,0
02-09-2025,Haryana,Jind,126101,5,0,0
02-09-2025,Haryana,Jind,126110,2,0,0
02-09-2025,Haryana,Jind,126111,2,0,0
02-09-2025,Haryana,Kaithal,136021,2,0,0
