date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-09-2025,Jammu & Kashmir,Baramula,193101,3,0,0
04-09-2025,Jammu & Kashmir,Jammu,180002,0,1,0
09-09-2025,Jammu & Kashmir,Jammu,181102,1,0,0
12-09-2025,Jammu & Kashmir,Jammu,180010,1,0,0
19-09-2025,Jammu & Kashmir,Kupwara,193224,1,1,0
23-09-2025,Jammu & Kashmir,Jammu,180005,1,1,0
26-09-2025,Jammu & Kashmir,Jammu,180004,0,1,0
13-10-2025,Jammu & Kashmir,Jammu,180001,1,0,0
16-10-2025,Jammu & Kashmir,Jammu,180002,1,0,0
16-10-2025,Jammu & Kashmir,Pulwama,192301,1,0,0
15-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
15-10-2025,Jammu & Kashmir,Jammu,181201,1,0,0
19-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
19-10-2025,Jammu & Kashmir,Jammu,181121,1,0,0
24-10-2025,Jammu & Kashmir,Kupwara,193223,1,0,0
25-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
30-10-2025,Jammu & Kashmir,Jammu,181133,1,0,0
10-11-2025,Jammu & Kashmir,Jammu,181145,1,0,0
02-11-2025,Jammu & Kashmir,Jammu,180004,1,1,0
12-11-2025,Jammu & Kashmir,Baramula,193101,1,1,0
18-11-2025,Jammu & Kashmir,Baramula,193101,1,0,0
17-11-2025,Jammu & Kashmir,Jammu,181121,1,0,0
19-11-2025,Jammu & Kashmir,Kupwara,193222,2,0,0
25-11-2025,Jammu & Kashmir,Baramula,193101,2,0,0
22-12-2025,Jammu & Kashmir,Anantnag,192401,1,0,0
27-12-2025,Jammu & Kashmir,Leh (ladakh),194101,1,0,0
31-12-2025,Jammu & Kashmir,Rajauri,185132,1,0,0
02-01-2026,Jammu & Kashmir,Jammu,180001,2,0,0
17-06-2025,Jammu & Kashmir,Jammu,180001,1,0,0
18-06-2025,Jammu & Kashmir,Baramula,193201,0,1,0
18-06-2025,Jammu & Kashmir,Baramula,193301,0,1,0
04-09-2025,Jammu & Kashmir,Baramula,193101,1,0,0
09-09-2025,Jammu & Kashmir,Jammu,180003,1,0,0
12-09-2025,Jammu & Kashmir,Jammu,181206,1,0,0
13-09-2025,Jammu & Kashmir,Baramula,193101,2,0,0
20-09-2025,Jammu & Kashmir,Jammu,181102,1,0,0
27-09-2025,Jammu & Kashmir,Baramula,193101,1,0,0
26-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
13-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
15-10-2025,Jammu & Kashmir,Jammu,181102,1,0,0
17-10-2025,Jammu & Kashmir,Jammu,180013,1,0,0
17-10-2025,Jammu & Kashmir,Kargil,194103,1,0,0
19-10-2025,Jammu & Kashmir,Jammu,181205,1,0,0
21-10-2025,Jammu & Kashmir,Jammu,181133,1,0,0
28-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
28-10-2025,Jammu & Kashmir,Jammu,181206,1,0,0
05-11-2025,Jammu & Kashmir,Jammu,181221,1,0,0
06-11-2025,Jammu & Kashmir,Doda,182203,1,0,0
16-11-2025,Jammu & Kashmir,Srinagar,191131,1,0,0
15-12-2025,Jammu & Kashmir,Jammu,181221,0,1,0
15-12-2025,Jammu & Kashmir,Punch,185102,1,0,0
30-10-2025,Jammu & Kashmir,Baramula,193101,1,0,0
11-11-2025,Jammu & Kashmir,Baramula,193101,1,0,0
11-11-2025,Jammu & Kashmir,Rajauri,185132,0,1,0
15-11-2025,Jammu & Kashmir,Baramula,193101,1,0,0
21-12-2025,Jammu & Kashmir,Kathua,184101,1,0,0
25-12-2025,Jammu & Kashmir,Bandipur,193501,1,0,0
27-12-2025,Jammu & Kashmir,Baramula,193121,1,0,0
29-12-2025,Jammu & Kashmir,Baramula,193101,1,0,0
28-12-2025,Jammu & Kashmir,Baramula,193101,0,1,0
01-01-2026,Jammu & Kashmir,Baramula,193101,1,0,0
31-12-2025,Jammu & Kashmir,Jammu,184121,1,0,0
31-12-2025,Jammu & Kashmir,Srinagar,191102,1,0,0
02-01-2026,Jammu & Kashmir,Baramula,193101,1,1,0
12-06-2025,Jammu & Kashmir,Jammu,180001,1,0,0
06-09-2025,Jammu & Kashmir,Baramula,193101,2,0,0
10-09-2025,Jammu & Kashmir,Anantnag,192211,0,1,0
09-09-2025,Jammu & Kashmir,Jammu,180001,1,0,0
13-09-2025,Jammu & Kashmir,Kathua,184101,1,0,0
16-09-2025,Jammu & Kashmir,Anantnag,192124,1,0,0
22-09-2025,Jammu & Kashmir,Jammu,180002,1,0,0
