date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Jammu and Kashmir,Anantnag,192102,1,0,0
01-09-2025,Jammu and Kashmir,Badgam,190018,1,0,0
01-09-2025,Jammu and Kashmir,Bandipore,193504,4,0,0
01-09-2025,Jammu and Kashmir,Baramula,193122,0,1,0
01-09-2025,Jammu and Kashmir,Baramula,193301,5,0,0
01-09-2025,Jammu and Kashmir,Baramula,193303,3,0,0
01-09-2025,Jammu and Kashmir,Budgam,191111,9,1,0
01-09-2025,Jammu and Kashmir,Budgam,192121,1,0,0
01-09-2025,Jammu and Kashmir,Doda,182147,1,0,0
01-09-2025,Jammu and Kashmir,Doda,182201,4,2,0
01-09-2025,Jammu and Kashmir,Jammu,180002,1,3,0
01-09-2025,Jammu and Kashmir,Jammu,181101,2,0,0
01-09-2025,Jammu and Kashmir,Jammu,181152,1,0,0
01-09-2025,Jammu and Kashmir,Jammu,181206,2,3,0
01-09-2025,Jammu and Kashmir,Jammu,185154,2,0,0
01-09-2025,Jammu and Kashmir,Kargil,194102,1,1,0
01-09-2025,Jammu and Kashmir,Kargil,194105,1,1,0
01-09-2025,Jammu and Kashmir,Kathua,184144,6,0,0
01-09-2025,Jammu and Kashmir,Kathua,184201,1,0,0
01-09-2025,Jammu and Kashmir,Kathua,184204,3,0,0
01-09-2025,Jammu and Kashmir,Kupwara,193224,11,2,0
01-09-2025,Jammu and Kashmir,Leh,194101,2,0,0
01-09-2025,Jammu and Kashmir,Pulwama,192304,0,1,0
01-09-2025,Jammu and Kashmir,Rajouri,185153,2,0,0
01-09-2025,Jammu and Kashmir,Ramban,182143,0,1,0
01-09-2025,Jammu and Kashmir,Reasi,182313,3,1,0
01-09-2025,Jammu and Kashmir,Reasi,185203,3,0,0
01-09-2025,Jammu and Kashmir,Samba,181145,2,0,0
01-09-2025,Jammu and Kashmir,Samba,184120,1,0,0
01-09-2025,Jammu and Kashmir,Srinagar,190001,2,0,0
01-09-2025,Jammu and Kashmir,Srinagar,190017,10,0,0
01-09-2025,Jammu and Kashmir,Srinagar,190019,1,0,0
01-09-2025,Jammu and Kashmir,Srinagar,191202,4,0,0
