date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Jharkhand,Bokaro,827009,1,5,0
01-09-2025,Jharkhand,Bokaro,828134,5,6,0
01-09-2025,Jharkhand,Bokaro,828303,2,1,0
01-09-2025,Jharkhand,Bokaro,829123,1,0,0
01-09-2025,Jharkhand,Deoghar,814112,2,3,0
01-09-2025,Jharkhand,Deoghar,815351,0,1,0
01-09-2025,Jharkhand,Deoghar,815357,1,2,0
01-09-2025,Jharkhand,Dhanbad,828106,0,0,1
01-09-2025,Jharkhand,Dhanbad,828125,1,5,0
01-09-2025,Jharkhand,Dhanbad,828130,1,2,0
01-09-2025,Jharkhand,Dhanbad,828302,1,1,0
01-09-2025,Jharkhand,Dumka,814102,7,0,0
01-09-2025,Jharkhand,Dumka,814110,2,3,0
01-09-2025,Jharkhand,Dumka,814120,6,4,0
01-09-2025,Jharkhand,Dumka,814148,2,2,0
01-09-2025,Jharkhand,Dumka,814167,0,2,0
01-09-2025,Jharkhand,Dumka,816118,0,2,0
01-09-2025,Jharkhand,East Singhbhum,831001,3,3,0
01-09-2025,Jharkhand,East Singhbhum,831004,5,1,0
01-09-2025,Jharkhand,East Singhbhum,832105,16,3,0
01-09-2025,Jharkhand,East Singhbhum,832303,5,4,0
01-09-2025,Jharkhand,Garhwa,822120,6,1,0
01-09-2025,Jharkhand,Garhwa,822121,13,3,0
01-09-2025,Jharkhand,Garhwa *,822124,1,0,0
01-09-2025,Jharkhand,Giridih,815312,25,25,1
01-09-2025,Jharkhand,Giridih,815316,19,8,0
01-09-2025,Jharkhand,Giridih,815318,3,6,0
01-09-2025,Jharkhand,Giridih,825106,11,9,0
01-09-2025,Jharkhand,Giridih,825329,0,0,1
01-09-2025,Jharkhand,Godda,814154,12,10,0
01-09-2025,Jharkhand,Godda,814156,1,2,0
01-09-2025,Jharkhand,Godda,814160,7,4,0
01-09-2025,Jharkhand,Gumla,835206,16,9,0
01-09-2025,Jharkhand,Gumla,835229,3,1,0
01-09-2025,Jharkhand,Hazaribag,825301,1,0,0
01-09-2025,Jharkhand,Hazaribagh,825311,10,6,0
01-09-2025,Jharkhand,Hazaribagh,825321,2,1,0
01-09-2025,Jharkhand,Hazaribagh,825405,1,6,0
01-09-2025,Jharkhand,Hazaribagh,825409,2,0,0
01-09-2025,Jharkhand,Hazaribagh,829129,0,1,0
01-09-2025,Jharkhand,Jamtara,815354,4,1,0
01-09-2025,Jharkhand,Khunti,835209,4,2,0
01-09-2025,Jharkhand,Khunti,835225,1,2,0
01-09-2025,Jharkhand,Latehar,822111,4,5,0
01-09-2025,Jharkhand,Latehar,829204,2,1,0
01-09-2025,Jharkhand,Latehar,829207,2,4,0
01-09-2025,Jharkhand,Lohardaga,835302,16,12,0
01-09-2025,Jharkhand,Pakur,816104,18,7,0
01-09-2025,Jharkhand,Pakur,816117,0,1,0
01-09-2025,Jharkhand,Palamau,822113,2,3,0
01-09-2025,Jharkhand,Palamu,822116,14,4,0
01-09-2025,Jharkhand,Palamu,822118,10,6,0
01-09-2025,Jharkhand,Palamu,822125,1,0,0
01-09-2025,Jharkhand,Purbi Singhbhum,832110,3,0,0
01-09-2025,Jharkhand,Ramgarh,825314,3,2,0
01-09-2025,Jharkhand,Ramgarh,829101,0,1,0
01-09-2025,Jharkhand,Ramgarh,829102,0,1,0
01-09-2025,Jharkhand,Ramgarh,829103,1,1,0
01-09-2025,Jharkhand,Ramgarh,829126,0,1,0
01-09-2025,Jharkhand,Ranchi,834004,2,4,1
01-09-2025,Jharkhand,Ranchi,835103,4,5,0
01-09-2025,Jharkhand,Ranchi,835217,3,0,0
01-09-2025,Jharkhand,Ranchi,835225,3,5,0
01-09-2025,Jharkhand,Ranchi,835301,3,0,0
01-09-2025,Jharkhand,Sahebganj,813208,3,4,0
01-09-2025,Jharkhand,Sahebganj,816101,12,2,0
01-09-2025,Jharkhand,Sahebganj,816120,1,2,0
01-09-2025,Jharkhand,Seraikela-Kharsawan,831002,4,2,0
01-09-2025,Jharkhand,Seraikela-Kharsawan,833219,1,1,0
01-09-2025,Jharkhand,Seraikela-Kharsawan,833220,3,0,0
01-09-2025,Jharkhand,Seraikela-kharsawan,832403,3,0,0
01-09-2025,Jharkhand,Seraikela-kharsawan,833219,1,0,0
01-09-2025,Jharkhand,Simdega,835211,4,8,0
01-09-2025,Jharkhand,Simdega,835223,10,7,0
01-09-2025,Jharkhand,Simdega,835226,1,1,0
01-09-2025,Jharkhand,West Singhbhum,833215,1,0,0
01-04-2025,Jharkhand,Ranchi,834001,187,174,21
01-07-2025,Jharkhand,Gumla,835324,184,111,11
01-07-2025,Jharkhand,Ranchi,835205,65,43,10
01-07-2025,Jharkhand,Ranchi,835222,130,132,33
01-07-2025,Jharkhand,West Singhbhum,833201,320,440,16
01-04-2025,Jharkhand,Ranchi,834002,99,130,11
03-09-2025,Jharkhand,Bokaro,825315,1,0,0
03-09-2025,Jharkhand,Bokaro,828303,0,2,0
03-09-2025,Jharkhand,Bokaro,829128,0,1,0
03-09-2025,Jharkhand,Chatra,825321,1,0,0
03-09-2025,Jharkhand,Chatra,825401,3,2,0
03-09-2025,Jharkhand,Dhanbad,826003,1,0,0
