date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Ladakh,Kargil,194103,8,1,0
02-09-2025,Ladakh,Kargil,194105,2,1,0
06-09-2025,Ladakh,Kargil,194102,1,0,0
04-09-2025,Ladakh,Kargil,194103,1,0,0
04-09-2025,Ladakh,Kargil,194105,1,1,0
04-09-2025,Ladakh,Kargil,194109,1,0,0
04-09-2025,Ladakh,Leh,194201,1,0,0
08-09-2025,Ladakh,Leh,194401,1,0,0
09-09-2025,Ladakh,Kargil,194105,1,0,0
10-09-2025,Ladakh,Leh,194201,1,0,0
11-09-2025,Ladakh,Kargil,194109,1,0,0
17-09-2025,Ladakh,Kargil,194105,1,0,0
18-09-2025,Ladakh,Kargil,194109,1,0,0
19-09-2025,Ladakh,Leh,194101,1,0,0
23-09-2025,Ladakh,Kargil,194109,1,0,0
27-09-2025,Ladakh,Kargil,194105,2,0,0
13-10-2025,Ladakh,Leh,194401,1,3,0
16-10-2025,Ladakh,Kargil,194301,1,0,0
16-10-2025,Ladakh,Kargil,194403,0,1,0
16-10-2025,Ladakh,Leh,194401,1,0,0
15-10-2025,Ladakh,Kargil,194103,1,2,0
18-10-2025,Ladakh,Kargil,194301,1,0,0
17-10-2025,Ladakh,Kargil,194103,1,3,0
20-10-2025,Ladakh,Kargil,194109,1,0,0
28-10-2025,Ladakh,Kargil,194103,1,0,0
25-10-2025,Ladakh,Leh,194104,1,0,0
29-10-2025,Ladakh,Leh,194101,0,1,0
29-10-2025,Ladakh,Leh,194404,1,0,0
06-11-2025,Ladakh,Kargil,194103,1,2,0
08-11-2025,Ladakh,Kargil,194103,2,0,0
09-11-2025,Ladakh,Kargil,194102,0,1,0
09-11-2025,Ladakh,Kargil,194103,1,1,0
09-11-2025,Ladakh,Kargil,194105,1,0,0
10-11-2025,Ladakh,Kargil,194103,1,1,0
14-11-2025,Ladakh,Kargil,194103,1,0,1
31-10-2025,Ladakh,Kargil,194301,1,0,0
31-10-2025,Ladakh,Leh,194401,1,0,0
02-11-2025,Ladakh,Kargil,194102,1,0,0
02-11-2025,Ladakh,Kargil,194103,2,0,0
02-11-2025,Ladakh,Kargil,194301,4,0,0
16-11-2025,Ladakh,Kargil,194103,2,1,0
18-11-2025,Ladakh,Kargil,194102,1,0,0
19-11-2025,Ladakh,Kargil,194102,3,0,0
19-11-2025,Ladakh,Kargil,194103,6,0,0
25-11-2025,Ladakh,Kargil,194102,1,0,0
25-11-2025,Ladakh,Leh,194104,1,0,0
25-11-2025,Ladakh,Leh,194401,2,0,0
15-12-2025,Ladakh,Kargil,194102,1,0,0
15-12-2025,Ladakh,Kargil,194103,1,0,0
21-12-2025,Ladakh,Kargil,194109,2,0,0
22-12-2025,Ladakh,Kargil,194103,1,0,0
22-12-2025,Ladakh,Kargil,194109,2,0,0
24-12-2025,Ladakh,Kargil,194102,1,0,0
23-12-2025,Ladakh,Leh,194101,1,0,0
25-12-2025,Ladakh,Kargil,194103,1,0,0
27-12-2025,Ladakh,Leh,194101,1,1,0
26-12-2025,Ladakh,Leh,194101,1,1,0
02-01-2026,Ladakh,Kargil,194105,1,0,0
02-01-2026,Ladakh,Kargil,194302,0,1,0
02-01-2026,Ladakh,Leh,194201,2,0,0
01-01-2026,Ladakh,Kargil,194301,1,1,0
03-01-2026,Ladakh,Kargil,194105,0,1,0
09-06-2025,Ladakh,Kargil,194103,0,1,0
09-06-2025,Ladakh,Kargil,194109,1,0,0
10-06-2025,Ladakh,Kargil,194102,1,0,0
10-06-2025,Ladakh,Kargil,194301,2,0,0
11-06-2025,Ladakh,Kargil,194102,1,0,0
11-06-2025,Ladakh,Leh,194401,1,0,0
14-06-2025,Ladakh,Kargil,194102,1,0,0
14-06-2025,Ladakh,Kargil,194301,0,2,0
17-06-2025,Ladakh,Leh,194101,1,0,0
16-06-2025,Ladakh,Kargil,194109,0,3,0
16-06-2025,Ladakh,Kargil,194301,0,0,1
16-06-2025,Ladakh,Leh,194401,1,0,0
18-06-2025,Ladakh,Kargil,194105,0,1,0
01-09-2025,Ladakh,Kargil,194109,1,0,0
06-09-2025,Ladakh,Leh,194101,1,0,1
05-09-2025,Ladakh,Kargil,194302,1,1,0
10-09-2025,Ladakh,Kargil,194103,0,1,0
13-09-2025,Ladakh,Kargil,194103,2,1,0
13-09-2025,Ladakh,Kargil,194301,2,2,0
12-09-2025,Ladakh,Kargil,194109,1,0,0
12-09-2025,Ladakh,Leh,194401,1,0,0
16-09-2025,Ladakh,Kargil,194301,0,1,0
