date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Madhya Pradesh,Agar Malwa,465447,3,0,0
01-09-2025,Madhya Pradesh,Alirajpur,457888,7,11,0
01-09-2025,Madhya Pradesh,Anuppur,484113,1,0,0
01-09-2025,Madhya Pradesh,Anuppur,484440,1,0,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473330,19,4,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473332,1,0,0
01-09-2025,Madhya Pradesh,Ashok Nagar,473335,7,4,0
01-09-2025,Madhya Pradesh,Balaghat,481117,2,1,0
01-09-2025,Madhya Pradesh,Balaghat,481337,7,0,0
01-09-2025,Madhya Pradesh,Barwani,451449,5,5,0
01-09-2025,Madhya Pradesh,Barwani,451660,5,5,0
01-09-2025,Madhya Pradesh,Barwani,451881,1,6,0
01-09-2025,Madhya Pradesh,Betul,460004,1,0,0
01-09-2025,Madhya Pradesh,Betul,460661,12,3,2
01-09-2025,Madhya Pradesh,Bhind,477111,0,1,0
01-09-2025,Madhya Pradesh,Bhind,477117,1,2,0
01-09-2025,Madhya Pradesh,Bhind,477222,2,3,0
01-09-2025,Madhya Pradesh,Bhind,477441,6,7,0
01-09-2025,Madhya Pradesh,Bhopal,462008,1,1,0
01-09-2025,Madhya Pradesh,Bhopal,462022,8,2,0
01-09-2025,Madhya Pradesh,Bhopal,462042,4,2,0
01-09-2025,Madhya Pradesh,Bhopal,462101,6,1,0
01-09-2025,Madhya Pradesh,Bhopal,463106,8,2,0
01-09-2025,Madhya Pradesh,Burhanpur,450221,5,3,0
01-09-2025,Madhya Pradesh,Burhanpur,450331,32,19,0
01-09-2025,Madhya Pradesh,Chhatarpur,471001,12,3,0
01-09-2025,Madhya Pradesh,Chhatarpur,471311,3,4,0
01-09-2025,Madhya Pradesh,Chhatarpur,471411,5,0,0
01-09-2025,Madhya Pradesh,Chhatarpur,471510,5,1,0
01-09-2025,Madhya Pradesh,Chhindwara,480105,3,0,0
01-09-2025,Madhya Pradesh,Chhindwara,480109,5,6,0
01-09-2025,Madhya Pradesh,Chhindwara,480221,10,2,0
01-09-2025,Madhya Pradesh,Chhindwara,480223,4,1,0
01-09-2025,Madhya Pradesh,Chhindwara,480331,9,2,0
01-09-2025,Madhya Pradesh,Damoh,470775,27,6,0
01-09-2025,Madhya Pradesh,Damoh,470880,29,5,0
01-09-2025,Madhya Pradesh,Dewas,455332,7,11,0
01-09-2025,Madhya Pradesh,Dhar,454331,15,7,0
01-09-2025,Madhya Pradesh,Dhar,454446,10,15,0
01-09-2025,Madhya Pradesh,Dhar,454665,6,0,0
01-09-2025,Madhya Pradesh,Dhar,454775,3,2,0
01-09-2025,Madhya Pradesh,Dindori,481879,9,1,0
01-09-2025,Madhya Pradesh,East Nimar,450001,7,6,0
01-09-2025,Madhya Pradesh,East Nimar,450116,4,0,0
01-09-2025,Madhya Pradesh,East Nimar,450554,2,2,0
01-09-2025,Madhya Pradesh,Guna,473115,14,5,0
01-09-2025,Madhya Pradesh,Guna,473222,7,1,0
01-09-2025,Madhya Pradesh,Guna,473443,1,0,0
01-09-2025,Madhya Pradesh,Gwalior,475001,7,2,0
01-09-2025,Madhya Pradesh,Gwalior,475220,4,5,1
01-09-2025,Madhya Pradesh,Harda,461228,6,9,0
01-09-2025,Madhya Pradesh,Harda,461331,14,4,0
01-09-2025,Madhya Pradesh,Hoshangabad,461122,1,0,0
01-09-2025,Madhya Pradesh,Hoshangabad,461990,24,1,0
01-09-2025,Madhya Pradesh,Indore,452001,10,7,0
01-09-2025,Madhya Pradesh,Indore,452012,1,1,0
