date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Maharashtra,Ahmadnagar,413701,1,2,1
01-09-2025,Maharashtra,Ahmadnagar,413703,1,1,0
01-09-2025,Maharashtra,Ahmadnagar,413705,3,0,0
01-09-2025,Maharashtra,Ahmadnagar,414002,2,1,0
01-09-2025,Maharashtra,Ahmadnagar,414006,2,0,0
01-09-2025,Maharashtra,Ahmadnagar,414306,1,0,0
01-09-2025,Maharashtra,Ahmadnagar,414403,1,1,0
01-09-2025,Maharashtra,Ahmadnagar,422608,2,0,0
01-09-2025,Maharashtra,Ahmadnagar,423109,0,0,3
01-09-2025,Maharashtra,Ahmadnagar,423601,5,3,0
01-09-2025,Maharashtra,Ahmed Nagar,413714,1,0,0
01-09-2025,Maharashtra,Ahmed Nagar,413738,1,0,0
01-09-2025,Maharashtra,Ahmed Nagar,414001,1,0,0
01-09-2025,Maharashtra,Akola,444102,1,0,0
01-09-2025,Maharashtra,Akola,444111,1,0,0
01-09-2025,Maharashtra,Amravati,444602,2,0,0
01-09-2025,Maharashtra,Amravati,444701,1,0,0
01-09-2025,Maharashtra,Amravati,444706,2,0,0
01-09-2025,Maharashtra,Amravati,444719,3,1,0
01-09-2025,Maharashtra,Amravati,444813,1,1,0
01-09-2025,Maharashtra,Aurangabad,431008,2,0,0
01-09-2025,Maharashtra,Aurangabad,431107,2,3,0
01-09-2025,Maharashtra,Aurangabad,431121,0,1,0
01-09-2025,Maharashtra,Aurangabad,431136,8,2,0
01-09-2025,Maharashtra,Beed,414202,2,0,0
01-09-2025,Maharashtra,Beed,431127,1,0,0
01-09-2025,Maharashtra,Beed,431131,1,1,0
01-09-2025,Maharashtra,Bhandara,441806,2,0,0
01-09-2025,Maharashtra,Bhandara,441905,4,0,0
01-09-2025,Maharashtra,Bhandara,441908,1,0,1
01-09-2025,Maharashtra,Bhandara,441914,7,0,0
01-09-2025,Maharashtra,Buldana,443201,1,0,0
01-09-2025,Maharashtra,Buldana,444303,1,0,0
01-09-2025,Maharashtra,Chandrapur,441206,3,0,0
01-09-2025,Maharashtra,Chandrapur,442701,7,0,0
01-09-2025,Maharashtra,Chandrapur,442702,1,0,0
01-09-2025,Maharashtra,Chhatrapati Sambhajinagar,431008,1,0,0
01-09-2025,Maharashtra,Dhule,424006,0,5,0
01-09-2025,Maharashtra,Dhule,424302,2,1,0
01-09-2025,Maharashtra,Dhule,424303,0,1,0
01-09-2025,Maharashtra,Dhule,424305,6,3,1
01-09-2025,Maharashtra,Dhule,425421,3,0,0
01-09-2025,Maharashtra,Gadchiroli,442603,1,0,0
01-09-2025,Maharashtra,Gadchiroli,442606,1,0,0
01-09-2025,Maharashtra,Gadchiroli,442705,3,0,0
01-09-2025,Maharashtra,Gondiya,441601,5,0,0
01-09-2025,Maharashtra,Hingoli,431509,1,0,0
01-09-2025,Maharashtra,Hingoli,431702,3,0,0
01-09-2025,Maharashtra,Hingoli,431705,3,2,0
01-09-2025,Maharashtra,Jalgaon,424101,10,3,0
01-09-2025,Maharashtra,Jalgaon,424102,4,1,0
01-09-2025,Maharashtra,Jalgaon,424106,8,1,0
01-09-2025,Maharashtra,Jalgaon,424108,2,7,0
01-09-2025,Maharashtra,Jalgaon,424207,2,1,0
01-09-2025,Maharashtra,Jalgaon,424209,1,0,0
01-09-2025,Maharashtra,Jalgaon,425002,3,1,1
01-09-2025,Maharashtra,Jalgaon,425111,7,3,0
01-09-2025,Maharashtra,Jalgaon,425116,2,2,0
01-09-2025,Maharashtra,Jalgaon,425303,2,1,0
01-09-2025,Maharashtra,Jalgaon,425311,5,1,0
01-09-2025,Maharashtra,Jalgaon,425507,1,0,0
01-09-2025,Maharashtra,Jalna,431114,6,2,0
01-09-2025,Maharashtra,Jalna,431207,3,2,0
01-09-2025,Maharashtra,Jalna,431211,1,0,0
01-09-2025,Maharashtra,Jalna,431501,7,0,0
01-09-2025,Maharashtra,Kolhapur,416005,6,2,0
01-09-2025,Maharashtra,Kolhapur,416010,1,0,0
01-09-2025,Maharashtra,Kolhapur,416101,4,0,0
01-09-2025,Maharashtra,Kolhapur,416110,1,0,0
01-09-2025,Maharashtra,Kolhapur,416112,2,0,0
01-09-2025,Maharashtra,Kolhapur,416202,2,0,0
01-09-2025,Maharashtra,Kolhapur,416211,3,0,0
01-09-2025,Maharashtra,Kolhapur,416212,1,0,0
01-09-2025,Maharashtra,Kolhapur,416219,3,0,0
01-09-2025,Maharashtra,Kolhapur,416221,1,0,0
01-09-2025,Maharashtra,Kolhapur,416234,2,0,0
01-09-2025,Maharashtra,Kolhapur,416236,1,0,0
01-09-2025,Maharashtra,Kolhapur,416508,6,0,0
01-09-2025,Maharashtra,Kolhapur,416526,1,0,0
01-09-2025,Maharashtra,Latur,413515,1,1,0
01-09-2025,Maharashtra,Latur,413516,2,1,0
01-09-2025,Maharashtra,Latur,413517,3,0,1
01-09-2025,Maharashtra,Latur,413518,1,0,0
01-09-2025,Maharashtra,Latur,413519,0,1,0
01-09-2025,Maharashtra,Latur,413521,2,0,0
01-09-2025,Maharashtra,Mumbai,400008,5,0,0
01-09-2025,Maharashtra,Mumbai,400016,1,0,0
01-09-2025,Maharashtra,Mumbai,400042,1,0,0
01-09-2025,Maharashtra,Mumbai,400043,12,8,0
01-09-2025,Maharashtra,Mumbai,400057,1,1,0
01-09-2025,Maharashtra,Mumbai,400058,1,1,0
01-09-2025,Maharashtra,Mumbai,400077,3,0,0
01-09-2025,Maharashtra,Mumbai,401204,0,1,0
01-09-2025,Maharashtra,Mumbai City,400003,3,0,0
01-09-2025,Maharashtra,Mumbai City,400004,1,0,0
01-09-2025,Maharashtra,Mumbai City,400005,2,0,0
01-09-2025,Maharashtra,Mumbai City,400009,1,0,0
01-09-2025,Maharashtra,Mumbai City,400016,2,0,0
