date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Manipur,Bishnupur,795126,0,1,0
01-09-2025,Manipur,Churachandpur,795133,1,0,0
01-09-2025,Manipur,Imphal West,795001,4,1,0
01-09-2025,Manipur,Imphal West,795004,0,3,0
01-09-2025,Manipur,Senapati,795106,0,3,0
01-09-2025,Manipur,Senapati,795107,2,4,0
01-09-2025,Manipur,Tamenglong,795159,2,5,0
01-07-2025,Manipur,Churachandpur,795128,348,1265,13
01-04-2025,Manipur,Churachandpur,795128,130,476,26
03-09-2025,Manipur,Imphal East,795002,1,0,0
03-09-2025,Manipur,Imphal East,795115,1,1,0
03-09-2025,Manipur,Imphal West,795008,0,1,0
03-09-2025,Manipur,Imphal West,795146,1,0,0
03-09-2025,Manipur,Senapati,795112,0,1,0
03-09-2025,Manipur,Tamenglong,795141,3,11,0
03-09-2025,Manipur,Thoubal,795138,2,7,0
03-09-2025,Manipur,Thoubal,795149,1,0,0
03-09-2025,Manipur,Ukhrul,795142,4,4,0
03-09-2025,Manipur,Ukhrul,795143,1,0,0
02-09-2025,Manipur,Bishnupur,795126,0,1,0
02-09-2025,Manipur,Chandel,795131,12,25,0
02-09-2025,Manipur,Chandel,795135,0,1,0
02-09-2025,Manipur,Churachandpur,795128,6,8,0
02-09-2025,Manipur,Churachandpur,795133,1,0,0
02-09-2025,Manipur,Imphal East,795003,1,0,0
02-09-2025,Manipur,Imphal East,795005,0,2,0
02-09-2025,Manipur,Imphal East,795010,3,2,0
02-09-2025,Manipur,Imphal East,795149,1,1,0
02-09-2025,Manipur,Imphal West,795008,0,1,0
02-09-2025,Manipur,Imphal West,795132,0,1,0
02-09-2025,Manipur,Imphal West,795136,1,0,0
02-09-2025,Manipur,Senapati,795106,1,1,0
02-09-2025,Manipur,Senapati,795114,1,0,0
02-09-2025,Manipur,Senapati,795126,1,1,0
02-09-2025,Manipur,Senapati,795149,0,1,0
02-09-2025,Manipur,Thoubal,795103,2,2,0
02-09-2025,Manipur,Thoubal,795138,1,6,0
02-09-2025,Manipur,Ukhrul,795144,0,1,0
05-09-2025,Manipur,Bishnupur,795126,0,1,0
05-09-2025,Manipur,Bishnupur,795133,1,3,0
05-09-2025,Manipur,Chandel,795135,2,0,0
05-09-2025,Manipur,Churachandpur,795139,0,6,0
05-09-2025,Manipur,Senapati,795122,1,2,0
05-09-2025,Manipur,Tamenglong,795159,0,1,0
05-09-2025,Manipur,Thoubal,795130,1,0,0
05-09-2025,Manipur,Ukhrul,795145,0,1,0
04-09-2025,Manipur,Chandel,795131,1,12,0
04-09-2025,Manipur,Churachandpur,795128,6,19,1
