date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Nagaland,Dimapur,797116,0,2,0
01-09-2025,Nagaland,Kohima,797003,0,2,0
01-09-2025,Nagaland,Longleng,798625,1,4,0
01-09-2025,Nagaland,Mokokchung,798601,0,1,0
01-09-2025,Nagaland,Mon,798622,1,5,0
01-09-2025,Nagaland,Peren,797101,1,5,0
01-09-2025,Nagaland,Tuensang,798616,0,1,0
01-04-2025,Nagaland,Kohima,797001,134,228,23
01-04-2025,Nagaland,Dimapur,797112,249,454,80
01-05-2025,Nagaland,Dimapur,797112,155,207,22
01-07-2025,Nagaland,Tuensang,798626,25,208,15
01-07-2025,Nagaland,Peren,797110,36,105,18
01-07-2025,Nagaland,Mon,798621,117,221,29
01-07-2025,Nagaland,Wokha,797111,40,191,17
01-04-2025,Nagaland,Kohima,797005,51,80,12
03-09-2025,Nagaland,Dimapur,797112,5,6,1
03-09-2025,Nagaland,Kohima,797003,0,1,0
03-09-2025,Nagaland,Kohima,797005,0,1,1
03-09-2025,Nagaland,Niuland,797112,0,1,0
03-09-2025,Nagaland,Peren,797110,0,3,0
03-09-2025,Nagaland,Shamator,798628,0,1,0
03-09-2025,Nagaland,Zunheboto,798619,0,0,1
02-09-2025,Nagaland,Dimapur,797115,0,1,0
02-09-2025,Nagaland,Longleng,798625,1,13,0
02-09-2025,Nagaland,Peren,797110,4,7,0
02-09-2025,Nagaland,Shamator,798628,0,22,0
02-09-2025,Nagaland,Wokha,797100,0,2,0
05-09-2025,Nagaland,Dimapur,797103,0,2,0
05-09-2025,Nagaland,Dimapur,797106,0,1,0
05-09-2025,Nagaland,Mon,798603,0,2,0
05-09-2025,Nagaland,Phek,797107,0,1,0
04-09-2025,Nagaland,Dimapur,797103,0,4,0
04-09-2025,Nagaland,Dimapur,797112,1,5,1
04-09-2025,Nagaland,Dimapur,797115,1,1,0
04-09-2025,Nagaland,Dimapur,797117,0,1,0
04-09-2025,Nagaland,Kohima,797001,2,5,0
04-09-2025,Nagaland,Mon,798603,1,2,0
04-09-2025,Nagaland,Phek,797114,1,0,0
04-09-2025,Nagaland,Shamator,798628,0,8,0
06-09-2025,Nagaland,Dimapur,797106,0,1,0
06-09-2025,Nagaland,Kohima,797003,0,1,0
06-09-2025,Nagaland,Peren,797110,1,5,0
06-09-2025,Nagaland,Tuensang,798611,1,0,0
07-09-2025,Nagaland,Longleng,798622,0,1,0
07-09-2025,Nagaland,Mokokchung,798604,0,1,0
08-09-2025,Nagaland,Dimapur,797103,1,4,0
08-09-2025,Nagaland,Kiphire,798611,3,6,0
08-09-2025,Nagaland,Mokokchung,798615,0,2,0
08-09-2025,Nagaland,Mokokchung,798618,0,2,0
08-09-2025,Nagaland,Mon,798621,2,1,3
08-09-2025,Nagaland,Peren,797101,1,0,0
08-09-2025,Nagaland,Phek,797102,0,3,0
08-09-2025,Nagaland,Shamator,798628,0,3,0
08-09-2025,Nagaland,Tuensang,798616,2,3,0
08-09-2025,Nagaland,Wokha,797100,1,0,0
09-09-2025,Nagaland,Dimapur,797103,1,4,0
09-09-2025,Nagaland,Dimapur,797115,1,1,0
09-09-2025,Nagaland,Kohima,797005,1,1,0
09-09-2025,Nagaland,Kohima,797105,0,2,0
10-09-2025,Nagaland,Chumukedima,797106,0,0,2
10-09-2025,Nagaland,Dimapur,797112,2,5,2
10-09-2025,Nagaland,Mokokchung,798604,0,2,1
10-09-2025,Nagaland,Mokokchung,798613,0,1,0
10-09-2025,Nagaland,Phek,797108,0,3,0
10-09-2025,Nagaland,Tuensang,798616,0,1,0
10-09-2025,Nagaland,Zunheboto,798620,0,0,1
11-09-2025,Nagaland,Kiphire,798611,0,4,0
11-09-2025,Nagaland,Longleng,798625,0,1,0
11-09-2025,Nagaland,Mokokchung,798618,0,1,0
11-09-2025,Nagaland,Mon,798602,1,3,0
11-09-2025,Nagaland,Mon,798622,1,0,0
11-09-2025,Nagaland,Peren,797101,2,3,0
11-09-2025,Nagaland,Phek,797107,0,1,0
11-09-2025,Nagaland,Wokha,797111,0,2,0
11-09-2025,Nagaland,Zunheboto,798620,1,3,0
12-09-2025,Nagaland,Chumukedima,797103,0,1,0
12-09-2025,Nagaland,Mon,798622,3,8,1
12-09-2025,Nagaland,Tuensang,798616,0,1,0
15-09-2025,Nagaland,Chumukedima,797115,1,0,1
15-09-2025,Nagaland,Dimapur,797112,1,6,1
15-09-2025,Nagaland,Dimapur,797116,1,3,0
15-09-2025,Nagaland,Kohima,797001,2,5,0
15-09-2025,Nagaland,Kohima,797003,0,3,0
15-09-2025,Nagaland,Mon,798621,1,0,1
15-09-2025,Nagaland,Tseminyu,797109,2,0,0
15-09-2025,Nagaland,Tuensang,798616,0,0,1
15-09-2025,Nagaland,Wokha,797111,0,2,0
16-09-2025,Nagaland,Dimapur,797106,1,7,0
16-09-2025,Nagaland,Kohima,797003,1,1,0
16-09-2025,Nagaland,Longleng,798625,1,0,0
16-09-2025,Nagaland,Mokokchung,798601,1,1,0
16-09-2025,Nagaland,Mokokchung,798604,0,1,0
16-09-2025,Nagaland,Tuensang,798612,1,4,0
17-09-2025,Nagaland,Kohima,797001,3,1,0
17-09-2025,Nagaland,Kohima,797005,2,1,0
17-09-2025,Nagaland,Mokokchung,798614,1,0,0
17-09-2025,Nagaland,Mon,798621,3,0,0
17-09-2025,Nagaland,Phek,797108,0,3,0
17-09-2025,Nagaland,Tuensang,798601,1,1,0
19-09-2025,Nagaland,Chumukedima,797115,0,1,0
19-09-2025,Nagaland,Dimapur,797106,1,1,0
19-09-2025,Nagaland,Kiphire,798611,3,6,1
19-09-2025,Nagaland,Kohima,797001,7,3,0
19-09-2025,Nagaland,Longleng,798625,0,2,0
19-09-2025,Nagaland,Mokokchung,798618,0,4,0
19-09-2025,Nagaland,Mon,798603,1,2,0
19-09-2025,Nagaland,Noklak,798626,0,2,0
19-09-2025,Nagaland,Phek,797104,0,2,1
18-09-2025,Nagaland,Dimapur,797112,2,14,1
18-09-2025,Nagaland,Mokokchung,798615,0,1,0
20-09-2025,Nagaland,Dimapur,797106,1,1,0
20-09-2025,Nagaland,Dimapur,797113,1,1,0
20-09-2025,Nagaland,Dimapur,797116,1,0,0
20-09-2025,Nagaland,Kohima,797001,3,10,0
20-09-2025,Nagaland,Tuensang,798616,1,0,0
20-09-2025,Nagaland,Zunheboto,797109,0,2,0
22-09-2025,Nagaland,Kohima,797003,3,1,0
22-09-2025,Nagaland,Kohima,797105,4,6,0
22-09-2025,Nagaland,Meluri,797114,0,1,0
22-09-2025,Nagaland,Mokokchung,798601,3,3,0
22-09-2025,Nagaland,Niuland,797116,0,1,0
22-09-2025,Nagaland,Wokha,797111,6,19,1
22-09-2025,Nagaland,Zunheboto,797109,0,1,0
22-09-2025,Nagaland,Dimapur,797112,0,2,0
22-09-2025,Nagaland,Kohima,797001,3,6,0
21-09-2025,Nagaland,Kiphire,798611,1,0,0
21-09-2025,Nagaland,Shamator,798628,0,17,1
25-09-2025,Nagaland,Kohima,797101,0,1,0
25-09-2025,Nagaland,Peren,797110,0,3,0
25-09-2025,Nagaland,Tuensang,798616,0,2,0
25-09-2025,Nagaland,Wokha,797111,2,7,0
25-09-2025,Nagaland,Zunheboto,798620,1,1,0
23-09-2025,Nagaland,Chumukedima,797106,0,0,1
23-09-2025,Nagaland,Dimapur,797112,3,1,0
23-09-2025,Nagaland,Phek,797108,0,6,0
23-09-2025,Nagaland,Shamator,798628,0,7,1
23-09-2025,Nagaland,Tuensang,798612,0,2,0
23-09-2025,Nagaland,Tuensang,798616,0,1,1
23-09-2025,Nagaland,Zunheboto,798620,2,3,0
24-09-2025,Nagaland,Dimapur,797112,2,2,1
24-09-2025,Nagaland,Kiphire,798611,1,11,1
24-09-2025,Nagaland,Kohima,797101,0,2,0
24-09-2025,Nagaland,Longleng,798625,0,7,0
24-09-2025,Nagaland,Mokokchung,798604,0,1,1
24-09-2025,Nagaland,Mon,798603,1,4,1
24-09-2025,Nagaland,Mon,798621,0,1,0
24-09-2025,Nagaland,Tuensang,798616,0,2,0
27-09-2025,Nagaland,Dimapur,797112,1,1,0
26-09-2025,Nagaland,Dimapur,797112,2,1,1
26-09-2025,Nagaland,Dimapur,797116,0,1,0
26-09-2025,Nagaland,Kohima,797001,5,4,0
26-09-2025,Nagaland,Kohima,797005,1,1,0
26-09-2025,Nagaland,Longleng,798625,0,2,0
26-09-2025,Nagaland,Mokokchung,798601,0,3,1
26-09-2025,Nagaland,Tseminyu,797109,0,0,2
29-09-2025,Nagaland,Mokokchung,798601,0,4,0
29-09-2025,Nagaland,Mokokchung,798623,0,1,0
29-09-2025,Nagaland,Mon,798621,3,5,0
29-09-2025,Nagaland,Noklak,798626,0,1,0
29-09-2025,Nagaland,Zunheboto,798620,0,2,0
30-09-2025,Nagaland,Mokokchung,798601,1,2,0
30-09-2025,Nagaland,Mon,798621,5,8,0
30-09-2025,Nagaland,Phek,797104,1,1,0
30-09-2025,Nagaland,Shamator,798628,0,3,0
30-09-2025,Nagaland,Tuensang,798616,0,1,0
30-09-2025,Nagaland,Wokha,797100,1,2,0
30-09-2025,Nagaland,Zunheboto,798601,2,8,0
26-10-2025,Nagaland,Chumukedima,797112,0,0,1
26-10-2025,Nagaland,Kohima,797003,2,2,0
26-10-2025,Nagaland,Longleng,798618,1,0,0
26-10-2025,Nagaland,Meluri,797114,0,1,0
26-10-2025,Nagaland,Mon,798622,1,0,0
26-10-2025,Nagaland,Peren,797101,1,0,0
26-10-2025,Nagaland,Phek,797104,1,2,0
26-10-2025,Nagaland,Phek,797107,0,4,0
26-10-2025,Nagaland,Phek,797108,0,3,0
26-10-2025,Nagaland,Tuensang,798626,1,1,0
26-10-2025,Nagaland,Wokha,797111,0,5,0
26-10-2025,Nagaland,Zunheboto,798620,0,2,0
13-10-2025,Nagaland,Dimapur,797117,0,1,0
13-10-2025,Nagaland,Kohima,797001,2,3,0
13-10-2025,Nagaland,Kohima,797005,0,1,0
13-10-2025,Nagaland,Mon,798602,0,1,0
13-10-2025,Nagaland,Mon,798603,2,5,0
13-10-2025,Nagaland,Zunheboto,798620,0,3,0
15-10-2025,Nagaland,Dimapur,797115,0,3,0
15-10-2025,Nagaland,Kiphire,798611,0,5,0
15-10-2025,Nagaland,Kohima,797001,1,3,0
15-10-2025,Nagaland,Kohima,797105,0,1,0
15-10-2025,Nagaland,Mon,798622,1,5,0
15-10-2025,Nagaland,Wokha,797111,0,3,0
16-10-2025,Nagaland,Longleng,798625,0,1,0
16-10-2025,Nagaland,Mon,798622,1,5,0
16-10-2025,Nagaland,Shamator,798628,0,6,0
16-10-2025,Nagaland,Tuensang,798612,6,10,0
16-10-2025,Nagaland,Wokha,797100,1,0,0
16-10-2025,Nagaland,Wokha,797111,1,1,0
18-10-2025,Nagaland,Chumukedima,797103,0,1,0
18-10-2025,Nagaland,Dimapur,797106,2,2,0
18-10-2025,Nagaland,Mokokchung,798601,0,2,1
18-10-2025,Nagaland,Mon,798602,0,5,1
18-10-2025,Nagaland,Mon,798621,0,1,1
18-10-2025,Nagaland,Phek,797104,0,1,1
18-10-2025,Nagaland,Tseminyu,797109,0,1,1
18-10-2025,Nagaland,Tuensang,798601,1,1,0
18-10-2025,Nagaland,Tuensang,798612,3,2,0
18-10-2025,Nagaland,Zunheboto,798601,1,2,0
18-10-2025,Nagaland,Zunheboto,798620,2,8,1
17-10-2025,Nagaland,Dimapur,797106,1,0,0
17-10-2025,Nagaland,Dimapur,797115,3,0,0
17-10-2025,Nagaland,Kiphire,798611,4,19,2
17-10-2025,Nagaland,Kohima,797002,0,1,0
17-10-2025,Nagaland,Kohima,797105,4,6,0
17-10-2025,Nagaland,Mokokchung,798601,1,0,0
17-10-2025,Nagaland,Mon,798622,0,3,0
17-10-2025,Nagaland,Peren,797110,1,5,0
17-10-2025,Nagaland,Phek,797108,0,3,0
17-10-2025,Nagaland,Phek,797114,1,1,0
17-10-2025,Nagaland,Wokha,797111,1,2,0
17-10-2025,Nagaland,Zunheboto,798620,3,4,1
20-10-2025,Nagaland,Kohima,797001,0,1,0
20-10-2025,Nagaland,Mokokchung,798618,0,1,0
20-10-2025,Nagaland,Mon,798622,1,1,0
20-10-2025,Nagaland,Phek,797108,0,2,0
20-10-2025,Nagaland,Phek,797114,6,3,0
20-10-2025,Nagaland,Zunheboto,798620,1,8,0
19-10-2025,Nagaland,Dimapur,797115,1,3,0
19-10-2025,Nagaland,Kiphire,798611,1,7,0
19-10-2025,Nagaland,Mon,798621,2,6,0
19-10-2025,Nagaland,Mon,798622,0,7,0
19-10-2025,Nagaland,Niuland,797112,1,0,0
19-10-2025,Nagaland,Wokha,797111,1,2,0
19-10-2025,Nagaland,Zunheboto,798620,0,12,1
21-10-2025,Nagaland,Mon,798621,0,3,2
21-10-2025,Nagaland,Peren,797110,1,2,7
21-10-2025,Nagaland,Phek,797107,1,0,0
21-10-2025,Nagaland,Shamator,798628,0,1,0
21-10-2025,Nagaland,Tuensang,798612,2,0,1
24-10-2025,Nagaland,Dimapur,797103,1,2,0
24-10-2025,Nagaland,Dimapur,797106,0,3,0
24-10-2025,Nagaland,Kohima,797105,0,2,0
24-10-2025,Nagaland,Kohima,797110,0,2,0
24-10-2025,Nagaland,Mon,798603,2,7,0
24-10-2025,Nagaland,Phek,797107,1,1,0
24-10-2025,Nagaland,Tuensang,798612,2,3,0
24-10-2025,Nagaland,Tuensang,798626,3,0,0
22-10-2025,Nagaland,Tuensang,798616,0,0,1
25-10-2025,Nagaland,Dimapur,797113,0,1,0
25-10-2025,Nagaland,Kiphire,798611,3,7,0
25-10-2025,Nagaland,Mon,798621,5,6,0
25-10-2025,Nagaland,Noklak,798626,0,12,0
25-10-2025,Nagaland,Phek,797107,1,6,0
25-10-2025,Nagaland,Phek,797114,1,3,0
25-10-2025,Nagaland,Shamator,798628,1,2,0
25-10-2025,Nagaland,Tuensang,798612,8,4,0
27-10-2025,Nagaland,Dimapur,797112,3,6,0
27-10-2025,Nagaland,Kohima,797001,1,2,0
27-10-2025,Nagaland,Kohima,797110,0,1,0
27-10-2025,Nagaland,Mokokchung,798614,1,1,0
27-10-2025,Nagaland,Peren,797110,2,3,0
27-10-2025,Nagaland,Phek,797114,2,9,0
27-10-2025,Nagaland,Tuensang,798612,2,1,0
27-10-2025,Nagaland,Wokha,797100,1,0,0
27-10-2025,Nagaland,Zunheboto,797109,0,2,0
29-10-2025,Nagaland,Dimapur,797116,0,1,0
28-10-2025,Nagaland,Chumukedima,797106,0,1,0
28-10-2025,Nagaland,Kiphire,798611,2,6,0
28-10-2025,Nagaland,Kohima,797005,0,1,0
28-10-2025,Nagaland,Kohima,797109,0,1,0
28-10-2025,Nagaland,Mon,798603,4,5,0
28-10-2025,Nagaland,Phek,797108,1,0,0
30-10-2025,Nagaland,Zunheboto,797104,0,1,0
30-10-2025,Nagaland,Zunheboto,798601,2,15,0
30-10-2025,Nagaland,Zunheboto,798620,1,3,0
30-10-2025,Nagaland,Zunheboto,798627,0,2,0
31-10-2025,Nagaland,Dimapur,797112,4,7,0
31-10-2025,Nagaland,Kohima,797105,1,0,0
31-10-2025,Nagaland,Mokokchung,798601,0,3,0
31-10-2025,Nagaland,Mokokchung,798604,0,1,0
31-10-2025,Nagaland,Mon,798622,1,0,0
31-10-2025,Nagaland,Peren,797101,1,1,0
02-11-2025,Nagaland,Kohima,797109,1,0,0
02-11-2025,Nagaland,Wokha,797111,0,3,0
02-11-2025,Nagaland,Zunheboto,798619,2,10,0
01-11-2025,Nagaland,Dimapur,797103,0,3,0
01-11-2025,Nagaland,Dimapur,797112,2,4,0
01-11-2025,Nagaland,Mokokchung,798615,0,1,0
01-11-2025,Nagaland,Tuensang,798612,1,2,0
01-11-2025,Nagaland,Wokha,797111,0,1,0
