date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,Punjab,Ludhiana,141007,374,110,25
01-04-2025,Punjab,Ludhiana,141012,52,22,10
01-05-2025,Punjab,Hoshiarpur,146001,197,48,18
01-05-2025,Punjab,Kapurthala,144401,113,40,15
01-06-2025,Punjab,Ludhiana,141007,257,159,17
01-06-2025,Punjab,Kapurthala,144401,68,37,12
01-06-2025,Punjab,Ludhiana,141015,97,77,11
01-06-2025,Punjab,Kapurthala,144601,114,30,56
01-07-2025,Punjab,Gurdaspur,143505,549,99,10
01-07-2025,Punjab,Kapurthala,144601,178,39,137
01-07-2025,Punjab,Patiala,147001,766,237,18
01-07-2025,Punjab,Ludhiana,141010,168,148,24
01-04-2025,Punjab,Kapurthala,144401,138,37,51
03-09-2025,Punjab,Amritsar,143009,2,0,0
03-09-2025,Punjab,Amritsar,143102,1,0,0
03-09-2025,Punjab,Amritsar,143107,1,0,0
03-09-2025,Punjab,Barnala,148100,1,0,0
03-09-2025,Punjab,Barnala,148106,0,1,0
03-09-2025,Punjab,Bathinda,151101,1,1,0
03-09-2025,Punjab,Bathinda,151105,1,0,0
03-09-2025,Punjab,Faridkot,151212,2,0,0
03-09-2025,Punjab,Fatehgarh Sahib,140405,1,0,0
03-09-2025,Punjab,Fatehgarh Sahib,140406,6,0,0
03-09-2025,Punjab,Fatehgarh Sahib,140602,1,0,0
03-09-2025,Punjab,Fatehgarh Sahib,147301,10,1,0
03-09-2025,Punjab,Fazilka,152123,12,1,0
03-09-2025,Punjab,Ferozepur,142044,1,1,0
03-09-2025,Punjab,Ferozepur,142050,1,0,0
03-09-2025,Punjab,Firozpur,152123,4,1,0
03-09-2025,Punjab,Gurdaspur,143511,1,0,0
03-09-2025,Punjab,Gurdaspur,145001,2,0,0
03-09-2025,Punjab,Hoshiarpur,144205,3,1,0
03-09-2025,Punjab,Hoshiarpur,144207,1,0,0
03-09-2025,Punjab,Hoshiarpur,144223,1,1,0
03-09-2025,Punjab,Hoshiarpur,146001,5,3,0
03-09-2025,Punjab,Jalandhar,144003,2,1,0
03-09-2025,Punjab,Jalandhar,144005,2,0,0
03-09-2025,Punjab,Kapurthala,144402,0,1,0
03-09-2025,Punjab,Ludhiana,141003,5,1,1
03-09-2025,Punjab,Ludhiana,141007,9,2,0
03-09-2025,Punjab,Ludhiana,141013,1,0,0
03-09-2025,Punjab,Ludhiana,141116,2,0,0
03-09-2025,Punjab,Ludhiana,141206,3,0,0
03-09-2025,Punjab,Ludhiana,142022,1,0,0
03-09-2025,Punjab,Mansa,151502,3,1,0
03-09-2025,Punjab,Mansa,151506,4,0,0
03-09-2025,Punjab,Moga,142039,1,0,0
03-09-2025,Punjab,Moga,142040,1,1,0
03-09-2025,Punjab,Moga,142048,4,0,0
03-09-2025,Punjab,Moga,142049,2,0,0
03-09-2025,Punjab,Moga,142054,1,0,0
03-09-2025,Punjab,Nawanshahr,144501,1,0,0
03-09-2025,Punjab,Nawanshahr,144514,1,0,0
03-09-2025,Punjab,Patiala,147001,14,2,0
03-09-2025,Punjab,Patiala,147102,6,1,0
03-09-2025,Punjab,Patiala,147202,1,0,0
03-09-2025,Punjab,Rupnagar,140113,1,0,0
03-09-2025,Punjab,Rupnagar,140118,2,0,0
03-09-2025,Punjab,Rupnagar,140124,1,0,0
03-09-2025,Punjab,S.A.S Nagar(Mohali),140603,1,0,0
03-09-2025,Punjab,S.A.S Nagar(Mohali),160014,1,0,0
03-09-2025,Punjab,SAS Nagar (Mohali),140103,1,0,0
03-09-2025,Punjab,SAS Nagar (Mohali),140306,3,0,0
03-09-2025,Punjab,SAS Nagar (Mohali),140603,1,1,0
03-09-2025,Punjab,SAS Nagar (Mohali),160062,3,0,0
03-09-2025,Punjab,Sangrur,148021,1,0,0
03-09-2025,Punjab,Sangrur,148026,2,0,0
03-09-2025,Punjab,Shaheed Bhagat Singh Nagar,144505,6,0,0
03-09-2025,Punjab,Shaheed Bhagat Singh Nagar,144506,0,1,0
03-09-2025,Punjab,Shaheed Bhagat Singh Nagar,144507,1,0,0
03-09-2025,Punjab,Shaheed Bhagat Singh Nagar,144514,1,0,0
03-09-2025,Punjab,Sri Muktsar Sahib,152026,3,0,0
03-09-2025,Punjab,Sri Muktsar Sahib,152107,3,5,0
03-09-2025,Punjab,Sri Muktsar Sahib,152115,1,0,0
03-09-2025,Punjab,Tarn Taran,143105,1,0,0
03-09-2025,Punjab,Tarn Taran,143304,1,0,0
03-09-2025,Punjab,Tarn Taran,143305,1,0,0
03-09-2025,Punjab,Tarn Taran,143401,2,1,0
02-09-2025,Punjab,Amritsar,143009,1,0,0
02-09-2025,Punjab,Amritsar,143101,2,1,0
02-09-2025,Punjab,Amritsar,143108,1,0,0
02-09-2025,Punjab,Amritsar,143110,1,0,0
02-09-2025,Punjab,Amritsar,143112,1,0,0
02-09-2025,Punjab,Amritsar,143202,1,0,0
02-09-2025,Punjab,Barnala,148106,1,0,0
02-09-2025,Punjab,Faridkot,151209,0,1,0
02-09-2025,Punjab,Faridkot,151212,3,1,0
02-09-2025,Punjab,Fazilka,152024,7,3,0
02-09-2025,Punjab,Fazilka,152132,2,0,0
02-09-2025,Punjab,Ferozepur,142050,2,0,0
02-09-2025,Punjab,Ferozepur,142052,4,0,0
02-09-2025,Punjab,Ferozepur,152001,1,0,0
02-09-2025,Punjab,Gurdaspur,143513,6,0,0
02-09-2025,Punjab,Gurdaspur,143527,1,0,0
02-09-2025,Punjab,Gurdaspur,143532,3,0,0
02-09-2025,Punjab,Hoshiarpur,144211,3,0,0
02-09-2025,Punjab,Jalandhar,144001,2,1,0
02-09-2025,Punjab,Kapurthala,144620,1,0,0
02-09-2025,Punjab,Kapurthala,144626,1,0,0
02-09-2025,Punjab,Ludhiana,141008,5,4,0
02-09-2025,Punjab,Ludhiana,141014,1,0,0
02-09-2025,Punjab,Ludhiana,141109,0,1,0
02-09-2025,Punjab,Mansa,151503,1,0,0
02-09-2025,Punjab,Moga,142001,1,1,0
02-09-2025,Punjab,Moga,142042,6,0,0
02-09-2025,Punjab,Nawanshahr,144507,1,0,0
