date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,Rajasthan,Jalor,343049,54,27,14
01-04-2025,Rajasthan,Jodhpur,342301,210,101,12
01-05-2025,Rajasthan,Sirohi,307026,246,301,10
01-05-2025,Rajasthan,Bikaner,334001,421,164,20
01-06-2025,Rajasthan,Jaisalmer,345028,46,74,14
01-07-2025,Rajasthan,Jalore,343001,296,181,13
01-07-2025,Rajasthan,Jodhpur,342301,391,346,10
01-07-2025,Rajasthan,Sirohi,307024,172,278,16
01-04-2025,Rajasthan,Dholpur,328022,222,95,10
01-04-2025,Rajasthan,Jalor,343040,98,88,11
01-04-2025,Rajasthan,Nagaur,341025,118,54,10
01-04-2025,Rajasthan,Sikar,332709,141,29,10
01-04-2025,Rajasthan,Churu,331403,316,141,12
01-04-2025,Rajasthan,Jalor,343001,189,63,11
03-09-2025,Rajasthan,Sikar,332701,16,1,0
03-09-2025,Rajasthan,Sikar,332707,6,1,0
03-09-2025,Rajasthan,Sikar,332710,6,1,0
03-09-2025,Rajasthan,Sikar,332742,8,2,0
03-09-2025,Rajasthan,Sirohi,307001,3,3,0
03-09-2025,Rajasthan,Sirohi,307026,9,10,0
03-09-2025,Rajasthan,Tonk,304001,15,2,0
03-09-2025,Rajasthan,Tonk,304021,4,2,0
03-09-2025,Rajasthan,Udaipur,313027,2,3,0
03-09-2025,Rajasthan,Udaipur,313038,4,2,0
03-09-2025,Rajasthan,Udaipur,313201,1,2,1
03-09-2025,Rajasthan,Udaipur,313204,0,2,0
03-09-2025,Rajasthan,Udaipur,313702,8,4,0
03-09-2025,Rajasthan,Udaipur,313703,2,3,0
03-09-2025,Rajasthan,Udaipur,313902,4,4,0
03-09-2025,Rajasthan,Ajmer,305406,0,1,0
03-09-2025,Rajasthan,Ajmer,305412,2,2,0
03-09-2025,Rajasthan,Ajmer,305415,3,1,0
03-09-2025,Rajasthan,Ajmer,305624,4,0,0
03-09-2025,Rajasthan,Ajmer,305627,1,1,0
03-09-2025,Rajasthan,Ajmer,305814,4,0,0
03-09-2025,Rajasthan,Ajmer,305815,4,1,0
03-09-2025,Rajasthan,Ajmer,305925,0,1,0
03-09-2025,Rajasthan,Ajmer,305926,7,5,0
03-09-2025,Rajasthan,Alwar,301030,12,0,0
03-09-2025,Rajasthan,Alwar,301401,0,1,0
03-09-2025,Rajasthan,Alwar,301404,16,5,0
03-09-2025,Rajasthan,Alwar,301410,1,0,0
03-09-2025,Rajasthan,Alwar,301707,9,3,0
03-09-2025,Rajasthan,Alwar,301712,2,0,0
03-09-2025,Rajasthan,Alwar,321606,14,0,0
03-09-2025,Rajasthan,Barmer,344021,1,0,0
03-09-2025,Rajasthan,Barmer,344024,2,0,0
03-09-2025,Rajasthan,Barmer,344705,2,1,0
03-09-2025,Rajasthan,Barmer,344708,0,1,0
03-09-2025,Rajasthan,Bharatpur,321202,5,0,0
03-09-2025,Rajasthan,Bharatpur,321205,20,5,0
03-09-2025,Rajasthan,Bharatpur,321404,9,3,0
03-09-2025,Rajasthan,Bharatpur,321409,10,2,0
03-09-2025,Rajasthan,Bharatpur,321411,2,3,0
03-09-2025,Rajasthan,Bhilwara,311001,8,0,0
03-09-2025,Rajasthan,Bhilwara,311013,1,0,0
03-09-2025,Rajasthan,Bhilwara,311024,3,1,0
03-09-2025,Rajasthan,Bhilwara,311402,1,0,0
03-09-2025,Rajasthan,Bhilwara,311804,6,4,0
03-09-2025,Rajasthan,Bikaner,334201,1,1,0
03-09-2025,Rajasthan,Bikaner,334603,5,3,0
03-09-2025,Rajasthan,Bundi,323022,0,1,0
03-09-2025,Rajasthan,Chittorgarh,312023,3,0,0
03-09-2025,Rajasthan,Chittorgarh,312025,1,0,0
03-09-2025,Rajasthan,Chittorgarh,312203,6,4,0
03-09-2025,Rajasthan,Churu,331023,26,1,0
03-09-2025,Rajasthan,Churu,331302,4,1,0
03-09-2025,Rajasthan,Churu,331303,3,0,0
03-09-2025,Rajasthan,Churu,331411,1,0,0
03-09-2025,Rajasthan,Churu,331517,2,5,0
03-09-2025,Rajasthan,Churu,331518,3,0,0
03-09-2025,Rajasthan,Churu,331701,9,0,0
03-09-2025,Rajasthan,Dausa,303304,1,0,0
03-09-2025,Rajasthan,Dausa,303315,6,1,0
03-09-2025,Rajasthan,Dausa,303502,4,2,0
03-09-2025,Rajasthan,Dausa,303505,9,1,0
03-09-2025,Rajasthan,Dausa,303506,1,0,0
03-09-2025,Rajasthan,Dausa,303510,1,0,0
03-09-2025,Rajasthan,Dausa,303511,1,1,0
03-09-2025,Rajasthan,Dausa,322240,1,2,0
03-09-2025,Rajasthan,Dhaulpur,328001,3,0,0
03-09-2025,Rajasthan,Dholpur,328001,17,2,0
03-09-2025,Rajasthan,Dungarpur,314011,2,1,0
03-09-2025,Rajasthan,Dungarpur,314027,2,1,0
03-09-2025,Rajasthan,Dungarpur,314032,3,1,0
03-09-2025,Rajasthan,Dungarpur,314035,2,0,0
03-09-2025,Rajasthan,Dungarpur,314037,3,4,0
03-09-2025,Rajasthan,Ganganagar,335707,6,4,0
03-09-2025,Rajasthan,Ganganagar,335901,2,0,0
03-09-2025,Rajasthan,Hanumangarh,335063,10,4,0
03-09-2025,Rajasthan,Hanumangarh,335501,4,5,0
03-09-2025,Rajasthan,Hanumangarh,335502,2,0,0
03-09-2025,Rajasthan,Hanumangarh,335511,1,2,0
03-09-2025,Rajasthan,Hanumangarh,335803,15,2,0
03-09-2025,Rajasthan,Jaipur,302001,2,0,0
03-09-2025,Rajasthan,Jaipur,302005,1,0,0
03-09-2025,Rajasthan,Jaipur,302006,1,1,0
03-09-2025,Rajasthan,Jaipur,302033,2,1,0
03-09-2025,Rajasthan,Jaipur,302039,4,2,0
03-09-2025,Rajasthan,Jaipur,303108,4,4,0
03-09-2025,Rajasthan,Jaipur,303305,2,0,0
