date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Tripura,Sepahijala,799102,166,144,15
03-09-2025,Tripura,Dhalai,799264,2,0,0
03-09-2025,Tripura,Dhalai,799275,2,1,0
03-09-2025,Tripura,Gomati,799013,2,1,0
03-09-2025,Tripura,Khowai,799203,1,0,0
03-09-2025,Tripura,Khowai,799205,3,1,0
03-09-2025,Tripura,North Tripura,799251,1,0,0
03-09-2025,Tripura,North Tripura,799263,3,3,0
03-09-2025,Tripura,North Tripura,799264,1,1,0
03-09-2025,Tripura,North Tripura,799270,2,3,0
03-09-2025,Tripura,North Tripura,799271,1,0,0
03-09-2025,Tripura,North Tripura,799288,0,1,0
03-09-2025,Tripura,South Tripura,799101,2,0,0
03-09-2025,Tripura,West Tripura,799007,1,1,0
03-09-2025,Tripura,West Tripura,799102,0,1,0
03-09-2025,Tripura,West Tripura,799207,1,0,0
02-09-2025,Tripura,Dhalai,799204,1,1,0
02-09-2025,Tripura,Dhalai,799273,2,1,0
02-09-2025,Tripura,Dhalai,799278,1,1,0
02-09-2025,Tripura,Gomati,799114,3,1,0
02-09-2025,Tripura,Khowai,799201,1,0,1
02-09-2025,Tripura,North Tripura,799262,1,0,0
02-09-2025,Tripura,South Tripura,799141,5,4,0
02-09-2025,Tripura,South Tripura,799143,5,2,0
02-09-2025,Tripura,Unakoti,799290,1,0,0
02-09-2025,Tripura,West Tripura,799102,2,0,0
02-09-2025,Tripura,West Tripura,799103,1,0,0
01-09-2025,Tripura,Gomati,799104,2,0,0
01-09-2025,Tripura,Khowai,799203,0,0,1
01-09-2025,Tripura,South Tripura,799105,1,0,0
01-09-2025,Tripura,South Tripura,799142,1,0,0
01-09-2025,Tripura,South Tripura,799143,0,2,0
01-09-2025,Tripura,South Tripura,799145,5,1,0
01-09-2025,Tripura,West Tripura,799002,2,1,0
01-09-2025,Tripura,West Tripura,799008,3,0,0
01-09-2025,Tripura,West Tripura,799012,2,0,0
01-09-2025,Tripura,West Tripura,799115,0,1,0
01-09-2025,Tripura,West Tripura,799201,4,3,0
01-09-2025,Tripura,West Tripura,799205,2,2,0
06-09-2025,Tripura,Dhalai,799275,2,3,0
06-09-2025,Tripura,Dhalai,799284,8,1,0
06-09-2025,Tripura,Dhalai,799289,1,1,0
06-09-2025,Tripura,Gomati,799120,1,0,0
06-09-2025,Tripura,North Tripura,799264,1,3,0
06-09-2025,Tripura,North Tripura,799288,1,1,0
06-09-2025,Tripura,South Tripura,799157,1,0,0
06-09-2025,Tripura,Unakoti,799263,1,0,0
06-09-2025,Tripura,Unakoti,799277,1,0,0
06-09-2025,Tripura,West Tripura,799035,2,0,0
06-09-2025,Tripura,West Tripura,799045,1,2,0
06-09-2025,Tripura,West Tripura,799201,0,2,0
05-09-2025,Tripura,North Tripura,799277,1,0,0
05-09-2025,Tripura,West Tripura,799003,1,0,0
05-09-2025,Tripura,West Tripura,799207,2,1,0
04-09-2025,Tripura,Dhalai,799264,0,1,0
04-09-2025,Tripura,Dhalai,799284,8,6,0
04-09-2025,Tripura,Dhalai,799286,1,0,0
