date,state,district,pincode,age_0_5,age_5_17,age_18_greater
15-03-2025,Uttarakhand,Haridwar,247667,17,15,28
03-09-2025,Uttarakhand,Chamoli,246427,2,0,0
03-09-2025,Uttarakhand,Dehradun,248008,5,0,0
03-09-2025,Uttarakhand,Dehradun,248009,2,0,0
03-09-2025,Uttarakhand,Dehradun,248121,1,0,0
03-09-2025,Uttarakhand,Dehradun,248171,6,3,0
03-09-2025,Uttarakhand,Dehradun,249205,1,0,0
03-09-2025,Uttarakhand,Hardwar,249407,1,0,0
03-09-2025,Uttarakhand,Haridwar,247662,2,1,0
03-09-2025,Uttarakhand,Haridwar,247668,1,1,0
03-09-2025,Uttarakhand,Haridwar,249402,2,1,0
03-09-2025,Uttarakhand,Haridwar,249407,3,1,0
03-09-2025,Uttarakhand,Nainital,262402,7,0,0
03-09-2025,Uttarakhand,Nainital,263002,1,0,0
03-09-2025,Uttarakhand,Pauri Garhwal,246155,3,0,0
03-09-2025,Uttarakhand,Pithoragarh,262502,1,0,0
03-09-2025,Uttarakhand,Tehri Garhwal,249145,1,1,0
03-09-2025,Uttarakhand,Tehri Garhwal,249155,7,0,0
03-09-2025,Uttarakhand,Tehri Garhwal,249175,4,0,0
03-09-2025,Uttarakhand,Tehri Garhwal,249180,2,0,0
03-09-2025,Uttarakhand,Tehri Garhwal,249186,1,0,0
03-09-2025,Uttarakhand,Udham Singh Nagar,244713,17,1,0
03-09-2025,Uttarakhand,Udham Singh Nagar,262401,12,4,0
03-09-2025,Uttarakhand,Udham Singh Nagar,263152,6,0,0
02-09-2025,Uttarakhand,Almora,263655,1,0,0
02-09-2025,Uttarakhand,Bageshwar,263641,1,0,0
02-09-2025,Uttarakhand,Chamoli,246440,1,0,0
02-09-2025,Uttarakhand,Dehradun,248005,3,0,0
02-09-2025,Uttarakhand,Dehradun,248007,1,1,0
02-09-2025,Uttarakhand,Dehradun,248009,1,0,0
02-09-2025,Uttarakhand,Dehradun,248122,1,0,0
02-09-2025,Uttarakhand,Dehradun,248125,2,0,0
02-09-2025,Uttarakhand,Dehradun,248140,4,0,0
02-09-2025,Uttarakhand,Dehradun,248142,4,0,0
02-09-2025,Uttarakhand,Dehradun,248171,1,0,0
02-09-2025,Uttarakhand,Haridwar,247665,1,1,0
02-09-2025,Uttarakhand,Haridwar,247666,1,2,0
02-09-2025,Uttarakhand,Haridwar,247668,2,0,0
02-09-2025,Uttarakhand,Nainital,263132,2,0,0
02-09-2025,Uttarakhand,Pauri Garhwal,246123,0,1,0
02-09-2025,Uttarakhand,Pauri Garhwal,246179,1,0,0
02-09-2025,Uttarakhand,Pithoragarh,262547,1,0,0
02-09-2025,Uttarakhand,Tehri Garhwal,249155,3,1,0
02-09-2025,Uttarakhand,Tehri Garhwal,249180,5,1,0
01-09-2025,Uttarakhand,Almora,263628,1,0,0
01-09-2025,Uttarakhand,Bageshwar,263631,1,0,0
01-09-2025,Uttarakhand,Chamoli,246428,2,0,0
01-09-2025,Uttarakhand,Chamoli,246455,1,0,0
01-09-2025,Uttarakhand,Chamoli,246481,1,0,0
01-09-2025,Uttarakhand,Dehradun,248141,1,0,0
01-09-2025,Uttarakhand,Dehradun,248171,2,1,0
01-09-2025,Uttarakhand,Garhwal,246149,1,0,0
01-09-2025,Uttarakhand,Garhwal,246155,1,0,0
01-09-2025,Uttarakhand,Haridwar,247656,1,0,0
01-09-2025,Uttarakhand,Haridwar,247661,3,0,0
01-09-2025,Uttarakhand,Haridwar,247666,1,0,0
01-09-2025,Uttarakhand,Haridwar,249403,1,0,0
01-09-2025,Uttarakhand,Nainital,263132,2,0,0
01-09-2025,Uttarakhand,Pauri Garhwal,246127,0,1,0
01-09-2025,Uttarakhand,Pauri Garhwal,246147,1,1,0
01-09-2025,Uttarakhand,Pithoragarh,262501,1,0,0
01-09-2025,Uttarakhand,Pithoragarh,262533,1,0,0
01-09-2025,Uttarakhand,Pithoragarh,262544,0,0,1
01-09-2025,Uttarakhand,Pithoragarh,262545,2,0,0
01-09-2025,Uttarakhand,Rudraprayag,246425,1,0,0
01-09-2025,Uttarakhand,Rudraprayag,246439,2,0,0
01-09-2025,Uttarakhand,Tehri Garhwal,249121,0,1,0
01-09-2025,Uttarakhand,Tehri Garhwal,249130,2,1,0
01-09-2025,Uttarakhand,Tehri Garhwal,249161,3,1,0
01-09-2025,Uttarakhand,Tehri Garhwal,249180,1,0,0
01-09-2025,Uttarakhand,Tehri Garhwal,249192,2,0,0
01-09-2025,Uttarakhand,Udham Singh Nagar,244713,7,0,0
01-09-2025,Uttarakhand,Udham Singh Nagar,262405,0,1,0
01-09-2025,Uttarakhand,Uttarkashi,249196,1,0,0
06-09-2025,Uttarakhand,Almora,263645,1,0,0
06-09-2025,Uttarakhand,Almora,263664,1,0,0
06-09-2025,Uttarakhand,Almora,263676,0,1,0
06-09-2025,Uttarakhand,Bageshwar,263641,2,0,0
06-09-2025,Uttarakhand,Chamoli,246427,2,0,0
06-09-2025,Uttarakhand,Chamoli,246429,1,0,0
06-09-2025,Uttarakhand,Dehradun,248001,27,7,0
06-09-2025,Uttarakhand,Dehradun,248007,6,2,0
06-09-2025,Uttarakhand,Dehradun,248140,9,0,0
06-09-2025,Uttarakhand,Dehradun,248196,2,0,0
06-09-2025,Uttarakhand,Hardwar,247667,0,2,0
06-09-2025,Uttarakhand,Hardwar,249407,0,1,0
06-09-2025,Uttarakhand,Haridwar,249403,1,0,0
06-09-2025,Uttarakhand,Haridwar,249404,4,1,0
06-09-2025,Uttarakhand,Haridwar,249408,2,0,0
06-09-2025,Uttarakhand,Nainital,263132,1,0,0
