date,state,district,pincode,age_0_5,age_5_17,age_18_greater
05-09-2025,West  Bengal,Hooghly,712222,0,1,0
10-09-2025,West  Bengal,Hooghly,712222,0,1,0
18-09-2025,West  Bengal,Hooghly,712135,1,0,0
07-09-2025,West  Bengal,Hooghly,712222,1,0,0
04-09-2025,West  Bengal,Hooghly,712222,1,0,0
09-09-2025,West  Bengal,Hooghly,712149,1,0,0
08-09-2025,West  Bengal,Hooghly,712149,1,0,0
12-09-2025,West  Bengal,Hooghly,712221,1,0,0
20-09-2025,West  Bengal,Hooghly,712149,1,0,0
08-11-2025,West  Bengal,Hooghly,712222,0,1,0
26-12-2025,West  Bengal,Hooghly,712222,0,1,0
01-09-2025,West  Bengal,Hooghly,712149,0,1,0
11-09-2025,West  Bengal,Hooghly,712134,1,0,0
24-09-2025,West  Bengal,Hooghly,712221,0,1,0
19-11-2025,West  Bengal,Hooghly,712222,1,0,0
