date,state,district,pincode,age_0_5,age_5_17,age_18_greater
13-10-2025,West Bangal,Hooghly,712101,1,0,0
27-10-2025,West Bangal,Hooghly,712136,1,0,0
03-09-2025,West Bangal,Howrah,711303,1,0,0
22-09-2025,West Bangal,Hooghly,712104,1,0,0
11-09-2025,West Bangal,Howrah,711316,1,1,0
17-10-2025,West Bangal,Howrah,711303,0,1,0
25-11-2025,West Bangal,Hooghly,712101,0,1,0
29-12-2025,West Bangal,Hooghly,712101,1,0,0
10-06-2025,West Bangal,Hooghly,712104,0,1,0
24-12-2025,West Bangal,Hooghly,712104,1,0,0
11-06-2025,West Bangal,Howrah,711316,0,1,0
